WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (9.998792278000000 53.497594030000002)",Unfall 6418 (2016) Kat:3, Licht: 0,6418,3,6,2,03,16,7,,0,0,1,0,0,0,0
"POINT (9.899851252000000 53.471234895000002)",Unfall 6429 (2016) Kat:3, Licht: 2,6429,3,1,9,01,06,7,,2,0,1,0,0,0,0
"POINT (9.973287854000001 53.549754673000002)",Unfall 6430 (2016) Kat:3, Licht: 0,6430,3,3,5,03,08,4,,0,0,1,0,0,0,1
"POINT (10.037353852000001 53.506706778000002)",Unfall 6448 (2016) Kat:3, Licht: 0,6448,3,6,2,02,15,6,,0,0,1,0,0,0,0
"POINT (9.986983686000000 53.603502853999998)",Unfall 6461 (2016) Kat:3, Licht: 0,6461,3,3,5,01,15,5,,0,0,1,0,0,0,0
"POINT (10.021149738000000 53.543692421000003)",Unfall 6467 (2016) Kat:3, Licht: 2,6467,3,6,2,02,18,5,,2,0,1,0,0,0,0
"POINT (9.979146821000001 53.549238959000000)",Unfall 6471 (2016) Kat:2, Licht: 2,6471,2,4,6,04,21,2,,2,0,1,1,0,0,0
"POINT (9.901587051000000 53.470973473999997)",Unfall 6485 (2016) Kat:3, Licht: 1,6485,3,2,2,01,17,2,,1,0,1,0,0,0,0
"POINT (10.134766124000000 53.526735610999999)",Unfall 6486 (2016) Kat:3, Licht: 2,6486,3,3,5,03,04,7,,2,0,1,0,0,0,0
"POINT (9.870836744000000 53.571148759000003)",Unfall 6494 (2016) Kat:3, Licht: 2,6494,3,6,2,02,17,2,,2,0,1,0,0,0,0
"POINT (9.962103063000001 53.603191858000002)",Unfall 6504 (2016) Kat:3, Licht: 2,6504,3,2,5,01,16,5,,2,0,1,0,0,0,1
"POINT (9.994631158000001 53.470688631000002)",Unfall 6505 (2016) Kat:3, Licht: 2,6505,3,6,2,03,23,7,,2,0,1,0,0,0,0
"POINT (10.228333565000000 53.488076270000001)",Unfall 6524 (2016) Kat:3, Licht: 0,6524,3,2,6,02,12,4,,0,0,1,1,0,0,0
"POINT (9.972294689000000 53.466648243000002)",Unfall 6534 (2016) Kat:3, Licht: 2,6534,3,6,3,01,18,5,,2,0,1,0,0,0,0
"POINT (9.945084459000000 53.471083165000003)",Unfall 6535 (2016) Kat:3, Licht: 0,6535,3,6,2,03,17,2,,0,0,1,0,0,0,0
"POINT (10.030598060000001 53.567414048000003)",Unfall 6553 (2016) Kat:2, Licht: 2,6553,2,4,6,02,04,5,,2,0,1,1,0,0,0
"POINT (10.026370792000000 53.460781588000003)",Unfall 6567 (2016) Kat:1, Licht: 0,6567,1,6,2,01,09,3,,0,0,0,0,0,1,0
"POINT (9.983922804000001 53.598103684000002)",Unfall 6573 (2016) Kat:3, Licht: 0,6573,3,2,5,02,15,4,,0,1,1,0,0,0,0
"POINT (10.035293529000000 53.495410133999997)",Unfall 6576 (2016) Kat:3, Licht: 0,6576,3,6,1,04,14,6,,0,0,1,0,0,0,0
"POINT (9.900178526000000 53.564928225000003)",Unfall 6589 (2016) Kat:3, Licht: 1,6589,3,6,2,01,07,1,,1,0,1,0,0,0,0
"POINT (10.019045340000000 53.579829556000000)",Unfall 6590 (2016) Kat:3, Licht: 0,6590,3,7,6,03,14,6,,0,1,0,1,0,0,0
"POINT (9.927063629999999 53.593330768999998)",Unfall 6596 (2016) Kat:3, Licht: 0,6596,3,7,0,02,15,6,,0,0,0,0,1,0,0
"POINT (9.991765495999999 53.592798936999998)",Unfall 6606 (2016) Kat:3, Licht: 2,6606,3,2,1,01,23,4,,2,0,1,0,0,0,0
"POINT (9.950033651000000 53.617822046999997)",Unfall 6607 (2016) Kat:3, Licht: 0,6607,3,2,5,03,13,7,,0,1,1,0,0,0,0
"POINT (9.878734915000001 53.569330014999998)",Unfall 6625 (2016) Kat:3, Licht: 0,6625,3,6,2,02,10,4,,0,0,1,0,0,0,0
"POINT (10.125137944000000 53.566945824000001)",Unfall 6632 (2016) Kat:3, Licht: 0,6632,3,6,2,04,15,2,,0,0,1,0,0,0,0
"POINT (10.035939072000000 53.496527991000001)",Unfall 6644 (2016) Kat:3, Licht: 0,6644,3,6,3,01,14,6,,0,0,1,0,0,0,0
"POINT (10.025651021000000 53.552273024000002)",Unfall 6649 (2016) Kat:3, Licht: 0,6649,3,6,3,02,11,7,,0,0,1,0,0,0,0
"POINT (10.031238152000000 53.490581919000000)",Unfall 6652 (2016) Kat:3, Licht: 0,6652,3,6,3,03,06,3,,0,0,1,0,0,1,0
"POINT (10.089596027000001 53.507688444000003)",Unfall 6675 (2016) Kat:3, Licht: 0,6675,3,6,3,01,08,2,,0,0,1,0,0,1,0
"POINT (10.040704871999999 53.552766308000002)",Unfall 6680 (2016) Kat:3, Licht: 0,6680,3,2,6,02,08,1,,0,0,1,1,0,0,0
"POINT (9.880128813000001 53.568888043999998)",Unfall 6683 (2016) Kat:3, Licht: 2,6683,3,6,2,03,19,5,,2,0,1,0,0,0,0
"POINT (9.835057024999999 53.574258757000003)",Unfall 6696 (2016) Kat:3, Licht: 2,6696,3,2,3,01,08,6,,2,1,1,0,0,0,0
"POINT (9.980262224000001 53.464174423999999)",Unfall 6697 (2016) Kat:3, Licht: 0,6697,3,3,5,03,15,2,,0,0,1,0,0,0,0
"POINT (9.920506312000001 53.563973142000002)",Unfall 6703 (2016) Kat:3, Licht: 1,6703,3,3,6,02,16,4,,1,0,1,1,0,0,0
"POINT (10.097766282000000 53.495212950999999)",Unfall 6713 (2016) Kat:3, Licht: 2,6713,3,6,2,01,00,6,,2,0,1,0,0,0,0
"POINT (9.855442455000000 53.572002298999998)",Unfall 6714 (2016) Kat:3, Licht: 1,6714,3,7,6,03,07,5,,1,1,0,1,0,0,0
"POINT (10.106281548000000 53.512557340999997)",Unfall 6727 (2016) Kat:3, Licht: 0,6727,3,6,1,02,06,2,,0,0,0,0,0,1,0
"POINT (9.971669406000000 53.550030561000000)",Unfall 6735 (2016) Kat:3, Licht: 0,6735,3,6,2,02,12,3,,0,0,1,0,0,0,0
"POINT (10.024843155999999 53.542660329000000)",Unfall 6743 (2016) Kat:3, Licht: 0,6743,3,1,0,04,18,7,,0,0,0,0,1,0,0
"POINT (10.212890042000000 53.486556286000003)",Unfall 6756 (2016) Kat:3, Licht: 2,6756,3,7,6,01,16,5,,2,0,1,1,0,0,0
"POINT (9.947590163999999 53.618566098000002)",Unfall 6757 (2016) Kat:3, Licht: 0,6757,3,7,3,03,14,6,,0,0,1,0,1,0,0
"POINT (10.201662876000000 53.491508154999998)",Unfall 6761 (2016) Kat:3, Licht: 2,6761,3,3,5,02,07,5,,2,1,1,0,0,0,0
"POINT (9.944085929000000 53.568805169000001)",Unfall 6764 (2016) Kat:3, Licht: 2,6764,3,2,6,03,21,2,,2,0,1,1,0,0,0
"POINT (9.913664099000000 53.619914805999997)",Unfall 6775 (2016) Kat:3, Licht: 1,6775,3,6,2,01,08,2,,1,0,1,0,0,0,1
"POINT (9.920213352999999 53.604420116999997)",Unfall 6776 (2016) Kat:3, Licht: 0,6776,3,6,2,03,15,4,,0,0,1,0,0,1,0
