WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.218751583000000 49.169016782999996)","Unfall 25285 (2016) Kat:3 Licht:0",25285,3,6,1,02,12,2,,0,0,1,0,0
"POINT (9.224268670000001 49.155470561000001)","Unfall 25302 (2016) Kat:3 Licht:0",25302,3,6,1,02,15,2,,0,0,1,0,0
"POINT (9.216457877000000 49.146515876999999)","Unfall 25363 (2016) Kat:3 Licht:2",25363,3,1,0,02,21,7,,2,0,0,0,1
"POINT (9.163803532999999 49.154189651999999)","Unfall 25439 (2016) Kat:3 Licht:2",25439,3,6,3,03,21,3,,2,0,1,0,0
"POINT (9.199787571000000 49.139810545000003)","Unfall 25470 (2016) Kat:2 Licht:0",25470,2,6,3,02,11,5,,0,0,1,0,0
"POINT (9.198173555000000 49.185398266000000)","Unfall 25496 (2016) Kat:3 Licht:1",25496,3,6,2,03,06,3,,1,0,1,0,0
"POINT (9.202442107000000 49.157629673000002)","Unfall 25506 (2016) Kat:3 Licht:1",25506,3,7,0,02,18,7,,1,0,1,0,0
"POINT (9.221454495000000 49.148927461000000)","Unfall 25630 (2016) Kat:3 Licht:0",25630,3,4,6,02,09,6,,0,0,0,1,0
"POINT (9.214637379999999 49.169614439999997)","Unfall 25653 (2016) Kat:3 Licht:0",25653,3,6,2,03,13,5,,0,0,1,0,0
"POINT (9.176387959000000 49.189355343999999)","Unfall 25833 (2016) Kat:3 Licht:2",25833,3,6,2,03,19,6,,2,0,1,0,0
"POINT (9.225275930000001 49.146164538999997)","Unfall 25873 (2016) Kat:3 Licht:2",25873,3,2,6,03,19,7,,2,0,1,1,0
"POINT (9.193759553000000 49.186090692999997)","Unfall 26002 (2016) Kat:3 Licht:2",26002,3,2,4,03,05,7,,2,0,1,0,0
"POINT (9.218416937000001 49.133186125999998)","Unfall 26134 (2016) Kat:3 Licht:0",26134,3,2,4,03,14,6,,0,0,1,0,0
"POINT (9.225642910000000 49.167810654000000)","Unfall 26144 (2016) Kat:3 Licht:0",26144,3,6,2,03,13,7,,0,0,1,0,1
"POINT (9.145462239000000 49.192656278999998)","Unfall 26148 (2016) Kat:3 Licht:1",26148,3,1,8,03,18,4,,1,0,1,0,0
"POINT (9.126450336000000 49.186455871000000)","Unfall 26323 (2016) Kat:3 Licht:0",26323,3,6,2,03,11,5,,0,0,1,0,0
