WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.510296794000055 51.516956775000040)",Unfall 97163 (2019) Kat:3, Licht: 2,97163,3,3,5,01,19,7,1,2,0,1,0,0,0,0
"POINT (7.475144139000065 51.525377361000039)",Unfall 97165 (2019) Kat:3, Licht: 2,97165,3,3,5,01,20,7,1,2,1,1,0,0,0,0
"POINT (7.516299039000046 51.578258382000058)",Unfall 97166 (2019) Kat:3, Licht: 0,97166,3,6,0,01,16,3,0,0,0,1,0,0,0,0
"POINT (7.464506665000044 51.517842345000076)",Unfall 97168 (2019) Kat:3, Licht: 2,97168,3,6,2,01,01,7,1,2,0,1,1,0,0,0
"POINT (7.494267179000076 51.503006385000049)",Unfall 97170 (2019) Kat:3, Licht: 2,97170,3,6,1,01,20,7,1,2,0,1,0,0,0,0
"POINT (7.376217975000031 51.572458377000032)",Unfall 97196 (2019) Kat:3, Licht: 2,97196,3,4,6,01,07,6,2,2,0,1,1,0,0,0
"POINT (7.381453230000034 51.547895519000065)",Unfall 97255 (2019) Kat:3, Licht: 0,97255,3,4,6,01,14,5,1,0,1,0,1,0,0,0
"POINT (7.537886809000042 51.555700195000043)",Unfall 97256 (2019) Kat:3, Licht: 2,97256,3,7,0,01,05,5,1,2,0,1,0,1,0,0
"POINT (7.538516125000058 51.552755223000077)",Unfall 97257 (2019) Kat:3, Licht: 2,97257,3,2,5,01,17,5,1,2,0,1,0,0,0,0
"POINT (7.365707792000023 51.578943525000057)",Unfall 97277 (2019) Kat:3, Licht: 2,97277,3,6,2,01,23,5,1,2,0,1,0,0,0,0
"POINT (7.417852815000060 51.481525601000044)",Unfall 97344 (2019) Kat:3, Licht: 0,97344,3,7,8,01,15,4,0,0,0,1,0,0,0,0
"POINT (7.372168690000024 51.491759571000046)",Unfall 97345 (2019) Kat:3, Licht: 2,97345,3,2,2,01,17,4,0,2,0,1,0,0,0,0
"POINT (7.498562065000044 51.503843725000081)",Unfall 97346 (2019) Kat:3, Licht: 2,97346,3,6,2,01,05,4,1,2,0,1,0,0,1,0
"POINT (7.525502634000077 51.521368344000052)",Unfall 97347 (2019) Kat:2, Licht: 0,97347,2,4,6,01,12,4,0,0,0,1,1,0,0,0
"POINT (7.393467839000039 51.496860302000073)",Unfall 97439 (2019) Kat:2, Licht: 0,97439,2,6,2,01,15,6,0,0,0,1,0,0,0,0
"POINT (7.503341885000054 51.565658341000074)",Unfall 97478 (2019) Kat:3, Licht: 2,97478,3,6,2,01,17,3,0,2,0,1,0,0,0,0
"POINT (7.516841193000062 51.538603080000030)",Unfall 97479 (2019) Kat:3, Licht: 0,97479,3,6,2,01,07,3,0,0,0,1,0,0,0,0
"POINT (7.467289508000022 51.501484204000064)",Unfall 97559 (2019) Kat:2, Licht: 0,97559,2,3,5,01,15,2,0,0,1,1,0,0,0,0
"POINT (7.455975184000067 51.532895116000077)",Unfall 97607 (2019) Kat:3, Licht: 0,97607,3,6,2,01,13,1,0,0,0,1,0,0,0,0
"POINT (7.587893780000059 51.498013188000073)",Unfall 97663 (2019) Kat:3, Licht: 0,97663,3,6,4,01,14,7,0,0,0,1,0,0,0,0
"POINT (7.475536432000070 51.437200423000036)",Unfall 97664 (2019) Kat:2, Licht: 2,97664,2,1,8,01,01,7,1,2,0,1,0,0,0,0
"POINT (7.456437438000023 51.516282588000081)",Unfall 97665 (2019) Kat:3, Licht: 2,97665,3,6,1,01,21,7,0,2,0,1,0,0,0,0
"POINT (7.448490754000034 51.513212863000035)",Unfall 97666 (2019) Kat:3, Licht: 2,97666,3,3,5,01,05,7,1,2,0,1,0,0,0,0
