WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (6.937502870000060 50.931283472000075)",Unfall 96644 (2019) Kat:2, Licht: 2,96644,2,4,6,01,19,6,1,2,0,1,1,0
"POINT (6.840930038000067 51.033863354000061)",Unfall 96723 (2019) Kat:2, Licht: 2,96723,2,1,9,01,23,6,1,2,0,1,0,0
"POINT (7.062859963000051 50.905221358000063)",Unfall 96755 (2019) Kat:3, Licht: 2,96755,3,6,1,01,17,5,0,2,0,1,0,0
"POINT (6.898360326000045 50.958526446000064)",Unfall 96756 (2019) Kat:3, Licht: 2,96756,3,4,6,01,18,5,0,2,0,1,1,0
"POINT (6.990756874000056 50.867314993000036)",Unfall 96757 (2019) Kat:3, Licht: 1,96757,3,6,2,01,16,5,0,1,0,1,0,0
"POINT (6.910170164000022 50.926200078000079)",Unfall 96758 (2019) Kat:3, Licht: 0,96758,3,6,2,01,11,5,0,0,0,1,0,0
"POINT (6.949022950000028 50.935429119000048)",Unfall 96759 (2019) Kat:3, Licht: 1,96759,3,3,5,01,07,5,0,1,1,1,0,0
"POINT (7.055519338000067 50.880718578000028)",Unfall 96839 (2019) Kat:3, Licht: 0,96839,3,6,1,01,08,4,1,0,0,1,0,0
"POINT (7.084293587000047 50.922127486000079)",Unfall 96840 (2019) Kat:3, Licht: 0,96840,3,7,0,01,14,4,1,0,0,1,0,0
"POINT (7.096674312000062 50.920189167000046)",Unfall 96841 (2019) Kat:3, Licht: 0,96841,3,3,5,01,11,4,1,0,0,1,0,0
"POINT (7.031500076000043 50.966775645000041)",Unfall 96842 (2019) Kat:3, Licht: 2,96842,3,6,2,01,06,4,1,2,0,1,0,0
"POINT (6.925190559000043 50.939088235000042)",Unfall 96843 (2019) Kat:3, Licht: 0,96843,3,6,0,01,11,4,1,0,0,1,0,0
"POINT (6.935812941000052 50.923438958000077)",Unfall 96845 (2019) Kat:2, Licht: 2,96845,2,1,0,01,18,4,0,2,0,1,0,0
"POINT (6.831117341000038 51.066528962000064)",Unfall 96867 (2019) Kat:2, Licht: 2,96867,2,1,9,01,16,7,1,2,0,1,0,0
"POINT (7.097709399000053 50.881371422000029)",Unfall 96929 (2019) Kat:3, Licht: 0,96929,3,2,5,01,13,2,1,0,0,1,0,0
"POINT (6.971517768000069 50.937998539000034)",Unfall 96930 (2019) Kat:3, Licht: 0,96930,3,7,1,01,12,2,1,0,0,1,1,0
"POINT (7.028716991000067 50.986194369000032)",Unfall 96931 (2019) Kat:3, Licht: 0,96931,3,3,5,01,14,2,1,0,1,1,0,0
"POINT (7.018988270000023 50.949385210000059)",Unfall 96932 (2019) Kat:3, Licht: 2,96932,3,4,1,01,17,2,1,2,0,1,1,0
"POINT (6.908851796000022 50.927830291000078)",Unfall 96933 (2019) Kat:3, Licht: 1,96933,3,2,5,01,07,2,1,1,0,1,0,0
"POINT (6.951550904000044 50.930719196000041)",Unfall 96934 (2019) Kat:3, Licht: 2,96934,3,3,5,01,18,2,1,2,0,1,0,0
"POINT (7.039514811000061 50.931295175000059)",Unfall 97031 (2019) Kat:3, Licht: 2,97031,3,2,6,01,19,1,1,2,0,1,1,0
"POINT (6.943603181000071 50.929179741000041)",Unfall 97032 (2019) Kat:2, Licht: 2,97032,2,7,1,01,03,1,1,2,0,0,1,0
"POINT (6.865843768000048 50.918269488000078)",Unfall 97058 (2019) Kat:3, Licht: 2,97058,3,1,9,01,22,1,1,2,0,1,0,0
"POINT (6.865903147000040 50.918242725000027)",Unfall 97059 (2019) Kat:2, Licht: 2,97059,2,1,9,01,17,1,1,2,0,1,0,0
"POINT (6.897585635000041 50.993036485000061)",Unfall 97060 (2019) Kat:3, Licht: 0,97060,3,1,9,01,12,1,1,0,0,1,0,0
"POINT (7.095913743000040 50.844759627000030)",Unfall 97067 (2019) Kat:3, Licht: 2,97067,3,6,2,01,05,3,0,2,0,1,0,0
"POINT (7.031101828000033 50.899648134000074)",Unfall 97088 (2019) Kat:2, Licht: 2,97088,2,6,4,01,06,7,1,2,1,1,0,0
"POINT (6.948031688000071 50.954848680000055)",Unfall 97089 (2019) Kat:3, Licht: 0,97089,3,6,1,01,15,7,1,0,0,1,0,0
"POINT (6.945432455000059 50.926672140000051)",Unfall 97090 (2019) Kat:3, Licht: 0,97090,3,7,0,01,15,7,1,0,0,0,1,0
"POINT (7.000551129000030 50.907946504000051)",Unfall 97153 (2019) Kat:2, Licht: 0,97153,2,6,2,01,19,3,0,0,0,0,0,0
"POINT (7.020108777000075 50.948331070000052)",Unfall 97198 (2019) Kat:3, Licht: 0,97198,3,6,2,01,09,5,0,0,0,1,0,0
"POINT (7.083746598000062 50.898350058000062)",Unfall 97267 (2019) Kat:3, Licht: 2,97267,3,6,2,01,19,5,1,2,0,1,0,0
"POINT (7.064005601000076 50.919611636000070)",Unfall 97268 (2019) Kat:2, Licht: 2,97268,2,6,1,01,17,5,1,2,0,1,0,0
"POINT (7.057810298000049 50.944385191000038)",Unfall 97304 (2019) Kat:3, Licht: 0,97304,3,2,5,01,15,4,0,0,0,1,0,0
"POINT (6.957221707000031 50.903689686000064)",Unfall 97305 (2019) Kat:3, Licht: 0,97305,3,3,5,01,09,4,0,0,1,1,0,0
"POINT (7.046270320000076 50.942116129000055)",Unfall 97390 (2019) Kat:3, Licht: 1,97390,3,7,6,01,08,3,0,1,0,1,1,0
"POINT (7.079997676000062 50.981714711000052)",Unfall 97392 (2019) Kat:3, Licht: 1,97392,3,6,2,01,16,3,1,1,0,1,0,0
"POINT (6.910929195000051 50.939616106000074)",Unfall 97395 (2019) Kat:2, Licht: 0,97395,2,2,4,01,07,3,0,0,0,1,0,1
"POINT (6.924670512000034 50.937710763000041)",Unfall 97397 (2019) Kat:3, Licht: 1,97397,3,2,5,01,07,3,1,1,1,1,0,0
"POINT (6.990343334000045 50.891513341000064)",Unfall 97400 (2019) Kat:1, Licht: 2,97400,1,2,3,01,18,3,0,2,1,0,0,0
"POINT (6.928578432000052 50.916833551000082)",Unfall 97403 (2019) Kat:1, Licht: 2,97403,1,4,6,01,18,3,0,2,0,0,1,0
"POINT (6.923989821000021 50.912228627000047)",Unfall 97404 (2019) Kat:3, Licht: 0,97404,3,2,6,01,07,3,0,0,0,1,1,0
"POINT (7.050986246000036 50.932897424000032)",Unfall 97429 (2019) Kat:3, Licht: 0,97429,3,6,3,01,08,6,0,0,0,1,0,0
"POINT (6.989433825000049 50.898588290000077)",Unfall 97430 (2019) Kat:3, Licht: 0,97430,3,6,2,01,13,6,0,0,0,1,0,0
"POINT (7.048768342000074 50.870345212000075)",Unfall 97520 (2019) Kat:3, Licht: 0,97520,3,4,6,01,08,2,0,0,0,1,1,0
"POINT (7.027718163000031 50.965991547000044)",Unfall 97521 (2019) Kat:3, Licht: 0,97521,3,6,2,01,15,2,0,0,0,1,0,0
"POINT (6.972041889000025 50.886835982000036)",Unfall 97568 (2019) Kat:3, Licht: 2,97568,3,6,2,01,07,2,1,2,0,1,0,0
"POINT (6.900934941000060 50.989410304000046)",Unfall 97569 (2019) Kat:3, Licht: 2,97569,3,6,2,01,07,2,1,2,0,1,0,0
"POINT (6.880859882000038 50.993862695000075)",Unfall 97570 (2019) Kat:3, Licht: 2,97570,3,6,2,01,06,2,0,2,0,1,0,0
"POINT (6.996553898000059 50.963902054000073)",Unfall 97590 (2019) Kat:3, Licht: 2,97590,3,6,1,01,18,1,0,2,0,1,0,0
"POINT (6.833265292000021 50.938393145000077)",Unfall 97591 (2019) Kat:3, Licht: 0,97591,3,2,5,01,13,1,0,0,1,1,0,0
"POINT (7.090036245000022 50.922122300000069)",Unfall 97630 (2019) Kat:3, Licht: 0,97630,3,3,0,01,12,7,0,0,0,1,0,0
"POINT (6.849913873000048 50.918937377000077)",Unfall 97631 (2019) Kat:3, Licht: 0,97631,3,3,5,01,13,7,0,0,1,1,0,0
"POINT (7.022656574000052 50.946473582000067)",Unfall 97721 (2019) Kat:3, Licht: 0,97721,3,4,6,01,10,6,1,0,0,1,1,0
"POINT (6.933796363000056 50.921959478000076)",Unfall 97724 (2019) Kat:3, Licht: 2,97724,3,6,6,01,18,6,1,2,0,1,1,0
"POINT (6.939578149000056 50.905646565000040)",Unfall 97726 (2019) Kat:2, Licht: 2,97726,2,3,5,01,07,6,1,2,1,1,0,0
"POINT (6.922538347000057 50.892745744000081)",Unfall 97804 (2019) Kat:3, Licht: 2,97804,3,1,9,01,22,3,2,2,0,0,0,0
"POINT (6.967934880000030 50.890277446000027)",Unfall 97805 (2019) Kat:3, Licht: 2,97805,3,6,2,01,18,3,1,2,0,1,0,0
"POINT (6.934396945000060 50.922467753000035)",Unfall 97885 (2019) Kat:3, Licht: 0,97885,3,6,2,01,08,5,1,0,0,1,0,0
"POINT (6.936968356000023 50.997280466000063)",Unfall 97968 (2019) Kat:3, Licht: 0,97968,3,6,1,01,14,1,1,0,0,1,0,0
"POINT (6.907638579000036 50.932199484000080)",Unfall 97969 (2019) Kat:3, Licht: 0,97969,3,3,5,01,13,1,1,0,0,1,0,0
"POINT (6.955089693000048 51.009068185000046)",Unfall 97987 (2019) Kat:3, Licht: 1,97987,3,1,0,01,17,4,1,1,1,0,0,0
"POINT (6.906664973000034 50.955531997000037)",Unfall 97990 (2019) Kat:3, Licht: 0,97990,3,4,6,01,10,4,1,0,0,1,1,0
"POINT (6.979082211000048 50.849215054000069)",Unfall 97993 (2019) Kat:3, Licht: 1,97993,3,2,5,01,08,4,2,1,0,1,0,0
"POINT (7.003537372000039 50.961396666000041)",Unfall 98020 (2019) Kat:3, Licht: 0,98020,3,7,0,01,10,7,1,0,0,0,1,0
"POINT (6.979548013000056 50.967072513000062)",Unfall 98023 (2019) Kat:3, Licht: 0,98023,3,6,3,01,14,7,0,0,0,1,0,0
"POINT (6.871400642000026 50.975404229000048)",Unfall 98024 (2019) Kat:3, Licht: 0,98024,3,2,2,01,12,7,1,0,0,1,0,0
"POINT (6.833492215000035 50.965822852000031)",Unfall 98025 (2019) Kat:2, Licht: 0,98025,2,1,0,01,09,7,1,0,1,0,0,0
"POINT (7.001927839000075 50.910841982000079)",Unfall 98146 (2019) Kat:3, Licht: 2,98146,3,6,2,01,18,3,2,2,0,1,0,0
"POINT (7.068105833000061 50.908485017000032)",Unfall 98149 (2019) Kat:3, Licht: 2,98149,3,3,4,01,19,6,1,2,0,1,0,0
"POINT (6.976660262000053 50.932933545000026)",Unfall 98150 (2019) Kat:2, Licht: 0,98150,2,7,6,01,12,3,0,0,0,0,1,0
"POINT (6.852762791000032 51.003425702000072)",Unfall 98151 (2019) Kat:3, Licht: 1,98151,3,4,6,01,07,3,0,1,0,1,1,0
"POINT (6.999648076000028 50.986062598000046)",Unfall 98152 (2019) Kat:3, Licht: 2,98152,3,2,0,01,19,6,1,2,0,1,1,0
"POINT (6.912854244000073 50.936952642000051)",Unfall 98154 (2019) Kat:3, Licht: 0,98154,3,2,5,01,09,6,0,0,0,1,0,0
"POINT (6.932783621000056 50.948771970000053)",Unfall 98155 (2019) Kat:2, Licht: 2,98155,2,4,6,01,18,6,1,2,0,1,1,0
"POINT (6.852427127000055 50.938107739000031)",Unfall 98157 (2019) Kat:3, Licht: 0,98157,3,3,5,01,11,6,1,0,0,1,0,0
"POINT (6.991558561000034 50.933873952000056)",Unfall 98208 (2019) Kat:3, Licht: 2,98208,3,1,9,01,22,4,1,2,0,1,0,0
"POINT (7.060688324000068 50.903442357000074)",Unfall 98209 (2019) Kat:3, Licht: 2,98209,3,6,1,01,21,4,2,2,0,1,0,0
"POINT (7.011565748000066 50.970977090000076)",Unfall 98210 (2019) Kat:3, Licht: 2,98210,3,4,6,01,07,4,1,2,0,1,1,0
"POINT (6.955037677000064 51.002645041000051)",Unfall 98211 (2019) Kat:3, Licht: 2,98211,3,2,5,01,06,4,1,2,0,1,0,0
"POINT (6.912092402000042 50.999864316000071)",Unfall 98212 (2019) Kat:3, Licht: 0,98212,3,6,2,01,10,4,2,0,0,1,0,0
"POINT (6.822855689000051 50.938564595000059)",Unfall 98213 (2019) Kat:3, Licht: 2,98213,3,6,1,01,20,4,2,2,0,1,0,0
"POINT (6.924041889000023 50.946766131000061)",Unfall 98214 (2019) Kat:2, Licht: 0,98214,2,4,6,01,11,4,1,0,0,1,1,0
"POINT (6.969149404000063 50.904293740000071)",Unfall 98215 (2019) Kat:3, Licht: 2,98215,3,2,6,01,07,4,1,2,0,1,1,0
"POINT (6.951794681000024 50.903920299000049)",Unfall 98216 (2019) Kat:3, Licht: 0,98216,3,1,0,01,11,4,2,0,1,0,0,0
"POINT (7.065900804000023 50.911142165000058)",Unfall 98266 (2019) Kat:2, Licht: 2,98266,2,1,9,01,20,4,2,2,0,1,0,0
"POINT (6.971245048000071 50.932241271000066)",Unfall 98307 (2019) Kat:3, Licht: 0,98307,3,6,6,01,13,3,0,0,1,0,1,0
"POINT (6.957102149000036 50.952128301000073)",Unfall 98308 (2019) Kat:3, Licht: 0,98308,3,5,5,01,14,3,0,0,1,1,0,0
"POINT (6.877297045000034 51.001431091000029)",Unfall 98309 (2019) Kat:3, Licht: 0,98309,3,2,0,01,13,3,0,0,0,1,0,0
"POINT (6.918896958000062 50.948935121000034)",Unfall 98310 (2019) Kat:3, Licht: 2,98310,3,5,1,01,18,3,0,2,1,1,0,0
"POINT (6.935550864000049 50.907090406000066)",Unfall 98311 (2019) Kat:3, Licht: 2,98311,3,2,3,01,18,3,0,2,0,0,0,1
"POINT (7.096238689000074 50.842580720000058)",Unfall 98331 (2019) Kat:3, Licht: 0,98331,3,6,2,02,14,6,0,0,0,1,0,0
"POINT (6.969059870000024 50.858749829000033)",Unfall 98336 (2019) Kat:3, Licht: 1,98336,3,6,2,02,07,6,0,1,0,1,0,0
"POINT (6.913101475000076 51.009378077000065)",Unfall 98338 (2019) Kat:3, Licht: 0,98338,3,6,2,02,16,6,0,0,0,1,0,0
"POINT (6.988975843000048 50.898200111000051)",Unfall 98339 (2019) Kat:3, Licht: 0,98339,3,6,2,02,14,6,1,0,0,1,0,0
"POINT (6.853290225000023 50.981337197000073)",Unfall 98343 (2019) Kat:2, Licht: 2,98343,2,7,2,02,06,6,1,2,0,1,0,0
"POINT (7.055858596000064 50.951597575000051)",Unfall 98415 (2019) Kat:3, Licht: 2,98415,3,7,2,01,22,3,0,2,0,1,0,0
"POINT (6.972731398000065 50.930267871000069)",Unfall 98491 (2019) Kat:3, Licht: 0,98491,3,3,5,01,09,2,1,0,0,1,0,0
"POINT (6.932769828000062 50.920945325000048)",Unfall 98492 (2019) Kat:3, Licht: 0,98492,3,2,6,01,11,2,1,0,0,1,1,0
"POINT (6.983950399000037 50.894002820000026)",Unfall 98542 (2019) Kat:3, Licht: 2,98542,3,1,9,01,20,5,2,2,0,1,0,0
"POINT (6.908431964000044 50.983130016000075)",Unfall 98544 (2019) Kat:3, Licht: 2,98544,3,1,9,01,06,5,1,2,0,1,0,0
"POINT (6.954337068000029 50.883642357000042)",Unfall 98610 (2019) Kat:3, Licht: 0,98610,3,6,3,02,16,3,0,0,0,1,0,0
"POINT (6.976784753000061 50.933061505000069)",Unfall 98640 (2019) Kat:3, Licht: 0,98640,3,4,6,02,13,2,0,0,0,0,1,0
