WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (12.371337497000001 51.344451595999999)",Unfall 44394 (2016) Kat:2, Licht: 2,44394,2,7,0,02,02,1,,2,1,0,0,0,0,0
"POINT (12.405348076999999 51.319996109000002)",Unfall 44407 (2016) Kat:3, Licht: 0,44407,3,6,3,02,15,3,,0,0,0,0,0,0,1
"POINT (12.427206770000000 51.351613737999998)",Unfall 44429 (2016) Kat:3, Licht: 0,44429,3,4,6,01,14,3,,0,0,0,1,0,0,1
"POINT (12.301777438000000 51.342661323999998)",Unfall 44445 (2016) Kat:3, Licht: 0,44445,3,2,5,03,16,4,,0,1,1,0,0,0,0
"POINT (12.394439016000000 51.336824171000004)",Unfall 44462 (2016) Kat:3, Licht: 0,44462,3,2,6,03,14,3,,0,0,0,1,0,0,1
"POINT (12.378216954999999 51.375845611000003)",Unfall 44468 (2016) Kat:3, Licht: 1,44468,3,2,5,03,17,7,,1,0,1,0,0,0,0
"POINT (12.392333756999999 51.345379758999997)",Unfall 44472 (2016) Kat:3, Licht: 0,44472,3,3,5,03,12,4,,0,0,1,0,0,0,0
"POINT (12.381085258000001 51.343853944000003)",Unfall 44492 (2016) Kat:2, Licht: 0,44492,2,4,6,03,12,5,,0,0,0,1,0,0,1
"POINT (12.345039223000001 51.375175824999999)",Unfall 44497 (2016) Kat:3, Licht: 0,44497,3,2,3,03,06,3,,0,1,1,0,0,0,0
"POINT (12.463490147000000 51.264011111000002)",Unfall 44540 (2016) Kat:3, Licht: 0,44540,3,6,2,03,14,7,,0,0,1,0,0,0,0
"POINT (12.335307736000001 51.335662454000001)",Unfall 44560 (2016) Kat:3, Licht: 2,44560,3,1,8,03,01,6,,2,0,1,0,0,0,0
"POINT (12.449149997999999 51.280695590000001)",Unfall 44564 (2016) Kat:2, Licht: 2,44564,2,2,5,02,18,3,,2,0,1,0,0,0,0
"POINT (12.344869448000001 51.339189423000001)",Unfall 44580 (2016) Kat:3, Licht: 2,44580,3,3,5,02,06,4,,2,1,1,0,0,0,0
"POINT (12.388540152999999 51.346407743999997)",Unfall 44597 (2016) Kat:3, Licht: 0,44597,3,1,4,02,11,1,,0,0,1,0,0,0,0
"POINT (12.493181561000000 51.356188273999997)",Unfall 44605 (2016) Kat:3, Licht: 2,44605,3,1,9,03,05,7,,2,0,1,0,0,0,0
"POINT (12.263995578999999 51.316516157000002)",Unfall 44626 (2016) Kat:2, Licht: 0,44626,2,3,5,03,11,6,,0,1,1,0,0,0,0
"POINT (12.381005250999999 51.343886626000000)",Unfall 44628 (2016) Kat:3, Licht: 0,44628,3,6,2,03,09,3,,0,0,1,0,0,1,0
"POINT (12.369232315000000 51.376104292000001)",Unfall 44639 (2016) Kat:3, Licht: 0,44639,3,6,2,03,15,5,,0,0,1,0,0,0,0
"POINT (12.397397265000000 51.369533924999999)",Unfall 44663 (2016) Kat:3, Licht: 0,44663,3,6,2,03,16,3,,0,0,1,0,0,0,1
"POINT (12.392124002999999 51.346305403000002)",Unfall 44667 (2016) Kat:3, Licht: 0,44667,3,6,2,03,14,3,,0,0,1,0,0,0,0
"POINT (12.366776516000000 51.314550087999997)",Unfall 44690 (2016) Kat:3, Licht: 0,44690,3,3,5,02,14,5,,0,1,1,0,0,0,0
"POINT (12.245533232000000 51.346971469000003)",Unfall 44697 (2016) Kat:3, Licht: 0,44697,3,3,5,02,14,7,,0,0,1,0,0,0,0
"POINT (12.394494396000001 51.354730508000003)",Unfall 44699 (2016) Kat:3, Licht: 0,44699,3,3,5,03,18,5,,0,1,1,0,0,0,0
"POINT (12.491811340000000 51.355087695999998)",Unfall 44711 (2016) Kat:3, Licht: 0,44711,3,6,2,03,16,2,,0,0,1,0,0,0,0
"POINT (12.373426083000000 51.314811763000002)",Unfall 44730 (2016) Kat:3, Licht: 0,44730,3,2,2,02,13,2,,0,1,1,0,0,0,0
"POINT (12.395362846999999 51.341435316999998)",Unfall 44731 (2016) Kat:3, Licht: 0,44731,3,7,0,03,12,4,,0,0,0,0,1,0,0
"POINT (12.268698548000000 51.263765370000002)",Unfall 44752 (2016) Kat:3, Licht: 2,44752,3,3,5,03,19,5,,2,0,1,0,0,0,0
"POINT (12.281264462999999 51.383383713999997)",Unfall 44757 (2016) Kat:3, Licht: 2,44757,3,3,5,03,05,3,,2,1,1,0,0,0,0
"POINT (12.393016523000000 51.334466427999999)",Unfall 44761 (2016) Kat:3, Licht: 0,44761,3,2,5,03,07,3,,0,1,1,0,0,0,0
"POINT (12.390745309000000 51.347168582000002)",Unfall 44762 (2016) Kat:3, Licht: 0,44762,3,2,5,04,14,7,,0,1,1,0,0,0,0
"POINT (12.391754110000001 51.352082725000002)",Unfall 44772 (2016) Kat:3, Licht: 0,44772,3,6,2,02,14,6,,0,0,1,0,0,0,1
"POINT (12.460786654000000 51.367344207999999)",Unfall 44782 (2016) Kat:3, Licht: 0,44782,3,2,5,03,12,7,,0,0,1,0,0,0,0
"POINT (12.323586431000001 51.338606790999997)",Unfall 44801 (2016) Kat:3, Licht: 1,44801,3,4,6,03,17,7,,1,0,1,1,0,0,0
"POINT (12.280577779000000 51.262265845999998)",Unfall 44821 (2016) Kat:3, Licht: 0,44821,3,6,3,03,10,6,,0,0,1,0,0,0,0
"POINT (12.380972278000000 51.343900093999999)",Unfall 44832 (2016) Kat:3, Licht: 0,44832,3,4,6,03,10,4,,0,0,1,1,0,0,0
"POINT (12.298401177000001 51.343021294000003)",Unfall 44834 (2016) Kat:3, Licht: 0,44834,3,2,3,02,14,2,,0,1,1,0,0,0,0
"POINT (12.366780162000000 51.314457762000004)",Unfall 44842 (2016) Kat:3, Licht: 0,44842,3,3,5,02,09,5,,0,0,1,0,0,0,0
"POINT (12.395304634000000 51.332103132000000)",Unfall 44857 (2016) Kat:3, Licht: 0,44857,3,6,4,03,07,4,,0,1,0,0,0,0,0
"POINT (12.327331641000001 51.378012177000002)",Unfall 44884 (2016) Kat:2, Licht: 0,44884,2,1,8,03,07,3,,0,0,1,0,0,0,0
"POINT (12.395009916999999 51.332142543000003)",Unfall 44890 (2016) Kat:3, Licht: 0,44890,3,3,5,03,06,3,,0,1,0,0,0,0,1
"POINT (12.455560589999999 51.365453094999999)",Unfall 44902 (2016) Kat:3, Licht: 0,44902,3,2,5,03,17,5,,0,0,1,0,0,0,1
"POINT (12.391694209000001 51.351895222000003)",Unfall 44938 (2016) Kat:3, Licht: 2,44938,3,6,3,02,18,6,,2,0,1,0,0,0,0
"POINT (12.364842412000000 51.310238071999997)",Unfall 44953 (2016) Kat:3, Licht: 0,44953,3,6,2,02,11,7,,0,0,1,0,0,0,0
"POINT (12.259254946000000 51.385617126000000)",Unfall 45006 (2016) Kat:3, Licht: 0,45006,3,3,5,02,15,4,,0,1,1,0,0,0,0
"POINT (12.383376415000001 51.343250953999998)",Unfall 45009 (2016) Kat:3, Licht: 1,45009,3,2,2,03,18,1,,1,0,1,0,0,0,0
"POINT (12.263730081000000 51.316476489999999)",Unfall 45017 (2016) Kat:3, Licht: 0,45017,3,6,2,03,14,3,,0,0,1,0,0,0,0
"POINT (12.401672354000000 51.324254459999999)",Unfall 45034 (2016) Kat:3, Licht: 0,45034,3,6,2,02,08,5,,0,0,1,0,0,0,0
"POINT (12.339844159000000 51.335331390999997)",Unfall 45096 (2016) Kat:3, Licht: 0,45096,3,6,1,04,17,5,,0,0,1,0,0,0,0
"POINT (12.424957009000000 51.352198280000003)",Unfall 45102 (2016) Kat:3, Licht: 0,45102,3,6,4,04,19,5,,0,1,0,0,0,0,0
"POINT (12.391406477000000 51.347439594999997)",Unfall 45109 (2016) Kat:3, Licht: 0,45109,3,2,5,05,11,3,,0,1,0,0,0,0,1
"POINT (12.380432250000000 51.344123095000000)",Unfall 45116 (2016) Kat:3, Licht: 0,45116,3,3,5,05,09,2,,0,1,1,0,0,0,0
"POINT (12.260408074000001 51.346425175999997)",Unfall 45158 (2016) Kat:3, Licht: 2,45158,3,3,5,04,21,6,,2,0,1,0,1,0,0
"POINT (12.270981325999999 51.317602491999999)",Unfall 45162 (2016) Kat:3, Licht: 0,45162,3,2,2,04,14,2,,0,0,1,0,0,0,0
"POINT (12.314269052000000 51.340553170000000)",Unfall 45163 (2016) Kat:2, Licht: 0,45163,2,1,9,04,08,1,,0,0,1,0,0,0,0
"POINT (12.410287437999999 51.316038077000002)",Unfall 45165 (2016) Kat:3, Licht: 0,45165,3,4,6,05,17,7,,0,1,0,1,0,0,0
"POINT (12.369305589000000 51.344150782000000)",Unfall 45186 (2016) Kat:3, Licht: 0,45186,3,2,3,04,19,2,,0,1,1,0,0,0,0
"POINT (12.378220061000000 51.375845515000002)",Unfall 45189 (2016) Kat:3, Licht: 0,45189,3,6,2,05,15,4,,0,0,1,0,0,0,0
"POINT (12.355983196000000 51.341442364000002)",Unfall 45203 (2016) Kat:3, Licht: 0,45203,3,4,0,04,09,3,,0,0,1,1,0,0,0
"POINT (12.391957495000000 51.346464087000001)",Unfall 45224 (2016) Kat:3, Licht: 0,45224,3,6,2,05,15,5,,0,0,0,0,1,0,1
"POINT (12.399467163000001 51.362922245000000)",Unfall 45277 (2016) Kat:3, Licht: 0,45277,3,6,2,04,15,4,,0,0,1,0,0,1,0
"POINT (12.421937330000000 51.307708599000001)",Unfall 45284 (2016) Kat:3, Licht: 0,45284,3,2,5,04,07,5,,0,1,1,0,0,0,0
"POINT (12.369298267000000 51.376102893999999)",Unfall 45288 (2016) Kat:3, Licht: 0,45288,3,2,4,05,18,2,,0,1,1,0,0,0,0
"POINT (12.304999708000000 51.342286473000001)",Unfall 45351 (2016) Kat:3, Licht: 0,45351,3,2,2,05,11,7,,0,0,1,0,1,0,0
"POINT (12.282947907000000 51.344386610000001)",Unfall 45354 (2016) Kat:3, Licht: 2,45354,3,7,0,05,03,3,,2,1,0,0,0,0,1
"POINT (12.380604333999999 51.344051767000003)",Unfall 45355 (2016) Kat:3, Licht: 0,45355,3,6,1,04,12,6,,0,0,1,0,0,0,0
"POINT (12.381590851000000 51.314955456000000)",Unfall 45380 (2016) Kat:2, Licht: 0,45380,2,2,5,04,11,6,,0,1,1,0,0,0,0
"POINT (12.365549695000000 51.410262199000002)",Unfall 45392 (2016) Kat:2, Licht: 0,45392,2,6,3,04,15,4,,0,0,1,0,0,1,0
"POINT (12.396211522000000 51.415516144999998)",Unfall 45393 (2016) Kat:3, Licht: 0,45393,3,2,5,04,15,3,,0,0,1,0,0,0,1
"POINT (12.426494509999999 51.351798549999998)",Unfall 45400 (2016) Kat:2, Licht: 0,45400,2,3,5,05,11,1,,0,1,0,0,0,0,1
"POINT (12.303682143000000 51.252879706000002)",Unfall 45434 (2016) Kat:2, Licht: 2,45434,2,1,8,05,04,5,,2,0,1,0,0,0,0
"POINT (12.422405461000000 51.351711891999997)",Unfall 45440 (2016) Kat:3, Licht: 0,45440,3,3,2,04,18,5,,0,1,1,0,0,0,0
"POINT (12.262001358999999 51.346280417999999)",Unfall 45441 (2016) Kat:3, Licht: 0,45441,3,3,5,04,09,4,,0,0,1,0,0,0,0
"POINT (12.451478029000000 51.363767938999999)",Unfall 45443 (2016) Kat:3, Licht: 0,45443,3,6,2,04,17,2,,0,0,1,0,1,0,0
"POINT (12.369340782000000 51.344157731999999)",Unfall 45453 (2016) Kat:3, Licht: 0,45453,3,2,5,05,13,2,,0,1,0,0,0,0,1
"POINT (12.356573600999999 51.341575272000000)",Unfall 45460 (2016) Kat:3, Licht: 0,45460,3,4,6,04,20,4,,0,0,0,1,0,0,1
"POINT (12.390632023000000 51.376238827999998)",Unfall 45461 (2016) Kat:3, Licht: 0,45461,3,6,2,04,15,2,,0,0,1,0,0,1,0
"POINT (12.391959862000000 51.346452520000000)",Unfall 45485 (2016) Kat:3, Licht: 0,45485,3,6,2,04,11,2,,0,0,1,0,0,0,0
