WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (13.386769444000038 52.469989788000078)",Unfall 113351 (2018) Kat:3, Licht: 2,113351,3,6,3,01,19,2,0,2,0,1,0,0
"POINT (13.445667934000028 52.597621242000059)",Unfall 113369 (2018) Kat:3, Licht: 2,113369,3,6,2,01,22,7,0,2,0,1,0,0
"POINT (13.413588585000070 52.558587366000040)",Unfall 113380 (2018) Kat:3, Licht: 2,113380,3,6,2,01,19,3,0,2,0,1,0,0
"POINT (13.428509206000058 52.532090459000074)",Unfall 113425 (2018) Kat:3, Licht: 0,113425,3,5,1,01,11,6,0,0,1,1,0,0
"POINT (13.283287265000070 52.497092324000050)",Unfall 113437 (2018) Kat:3, Licht: 0,113437,3,6,3,01,10,2,0,0,0,1,0,0
"POINT (13.302292340000065 52.642452764000041)",Unfall 113456 (2018) Kat:3, Licht: 0,113456,3,6,2,01,12,4,1,0,0,1,0,0
"POINT (13.387611444000072 52.438998106000042)",Unfall 113468 (2018) Kat:3, Licht: 0,113468,3,4,6,01,09,3,1,0,0,1,1,0
"POINT (13.353232747000050 52.479704520000041)",Unfall 113473 (2018) Kat:2, Licht: 0,113473,2,3,5,01,16,5,1,0,1,1,0,0
"POINT (13.375945867000041 52.429852989000040)",Unfall 113484 (2018) Kat:2, Licht: 0,113484,2,3,5,01,10,4,1,0,1,1,0,0
"POINT (13.433489537000071 52.535842456000069)",Unfall 113494 (2018) Kat:3, Licht: 2,113494,3,6,3,01,17,1,0,2,0,0,0,1
"POINT (13.417718713000056 52.523468132000062)",Unfall 113516 (2018) Kat:3, Licht: 2,113516,3,3,5,01,06,3,0,2,1,1,0,0
"POINT (13.281455244000028 52.498850109000045)",Unfall 113529 (2018) Kat:3, Licht: 2,113529,3,6,2,01,16,2,0,2,0,1,0,0
"POINT (13.288572290000047 52.494202207000058)",Unfall 113539 (2018) Kat:3, Licht: 2,113539,3,6,3,01,19,4,1,2,0,1,0,0
"POINT (13.288770629000055 52.532744731000037)",Unfall 113559 (2018) Kat:3, Licht: 2,113559,3,6,2,01,22,6,0,2,0,1,0,0
"POINT (13.317393345000028 52.454035390000058)",Unfall 113585 (2018) Kat:3, Licht: 2,113585,3,6,2,01,17,2,0,2,0,1,0,0
"POINT (13.282238528000050 52.497764293000046)",Unfall 113598 (2018) Kat:3, Licht: 2,113598,3,6,2,01,17,5,0,2,0,1,0,0
"POINT (13.460259549000057 52.515098088000059)",Unfall 113631 (2018) Kat:2, Licht: 0,113631,2,3,5,01,10,7,0,0,1,1,0,0
"POINT (13.391033131000029 52.432074573000079)",Unfall 113652 (2018) Kat:3, Licht: 2,113652,3,1,0,01,20,2,2,2,0,0,0,1
"POINT (13.381464098000038 52.509833339000068)",Unfall 113664 (2018) Kat:3, Licht: 2,113664,3,6,2,01,16,4,1,2,0,0,0,1
"POINT (13.282780685000034 52.528713253000035)",Unfall 113695 (2018) Kat:3, Licht: 0,113695,3,6,3,01,10,5,1,0,0,1,0,0
"POINT (13.384915525000054 52.449847078000062)",Unfall 113705 (2018) Kat:3, Licht: 1,113705,3,6,2,01,15,2,0,1,0,1,0,0
"POINT (13.433953028000076 52.537165458000061)",Unfall 113716 (2018) Kat:2, Licht: 0,113716,2,4,6,01,08,3,0,0,0,1,1,0
"POINT (13.283618355000044 52.517403413000068)",Unfall 113735 (2018) Kat:3, Licht: 0,113735,3,6,2,01,11,5,0,0,0,1,0,0
"POINT (13.352258443000039 52.480046727000058)",Unfall 113746 (2018) Kat:3, Licht: 2,113746,3,2,6,01,06,3,1,2,0,1,1,0
"POINT (13.562613320000025 52.567059167000082)",Unfall 113756 (2018) Kat:2, Licht: 2,113756,2,5,1,01,03,1,0,2,0,1,0,0
"POINT (13.380259606000038 52.437694167000075)",Unfall 113779 (2018) Kat:2, Licht: 2,113779,2,2,6,01,20,3,1,2,0,1,1,0
