WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.721560948000047 52.368310459000043)",Unfall 1 (2023) Kat:3, Licht: 2,1,3,6,2,02,18,4,,2,0,1,0,0
"POINT (9.696496501000070 52.379677655000080)",Unfall 2 (2023) Kat:3, Licht: 0,2,3,6,2,02,10,4,,0,0,1,0,0
"POINT (9.636103581000043 52.195335573000079)",Unfall 3 (2023) Kat:3, Licht: 2,3,3,7,7,02,18,4,,2,0,1,0,0
"POINT (9.460936650000065 52.331492080000032)",Unfall 4 (2023) Kat:3, Licht: 1,4,3,6,2,02,07,4,,1,0,1,0,0
"POINT (10.117903412000032 52.358686732000081)",Unfall 5 (2023) Kat:3, Licht: 2,5,3,6,2,02,19,4,,2,0,1,0,0
"POINT (9.738093011000046 52.495458802000030)",Unfall 6 (2023) Kat:3, Licht: 2,6,3,1,8,02,19,4,,2,0,1,0,0
"POINT (9.904976356000077 52.283510774000035)",Unfall 7 (2023) Kat:2, Licht: 2,7,2,1,8,02,18,4,,2,0,1,0,0
"POINT (9.456704831000025 52.486238904000061)",Unfall 8 (2023) Kat:3, Licht: 2,8,3,2,5,01,19,3,,2,0,1,0,0
"POINT (9.479754151000066 52.390999755000053)",Unfall 9 (2023) Kat:3, Licht: 2,9,3,6,3,01,19,3,,2,0,1,0,0
"POINT (9.427325200000041 52.353230862000032)",Unfall 10 (2023) Kat:3, Licht: 0,10,3,6,2,01,12,3,,0,0,1,0,0
"POINT (9.855963257000042 52.408622055000080)",Unfall 11 (2023) Kat:3, Licht: 0,11,3,6,2,01,08,3,,0,0,0,0,0
"POINT (10.216134708000027 52.452468987000032)",Unfall 12 (2023) Kat:1, Licht: 2,12,1,1,9,01,03,3,,2,0,1,0,0
"POINT (9.726861124000038 52.381038739000076)",Unfall 13 (2023) Kat:3, Licht: 1,13,3,3,5,01,16,2,,1,1,1,0,0
"POINT (9.855977115000030 52.388870451000059)",Unfall 14 (2023) Kat:3, Licht: 2,14,3,3,5,01,19,2,,2,1,1,0,0
"POINT (9.623456217000069 52.425538909000068)",Unfall 15 (2023) Kat:3, Licht: 2,15,3,6,2,01,18,2,,2,0,1,0,0
"POINT (9.733504314000072 52.480851435000034)",Unfall 16 (2023) Kat:3, Licht: 2,16,3,6,2,01,18,2,,2,0,1,0,1
"POINT (9.855034491000026 52.541276126000071)",Unfall 17 (2023) Kat:3, Licht: 0,17,3,1,8,01,12,2,,0,0,1,0,0
"POINT (9.734048251000047 52.387245153000038)",Unfall 18 (2023) Kat:3, Licht: 2,18,3,2,5,01,17,1,,2,0,1,0,0
"POINT (9.456846542000051 52.499332676000051)",Unfall 19 (2023) Kat:3, Licht: 1,19,3,6,2,01,16,1,,1,0,1,0,0
"POINT (9.732971897000027 52.420799835000082)",Unfall 20 (2023) Kat:3, Licht: 2,20,3,3,5,01,19,1,,2,0,1,0,0
"POINT (9.776658879000024 52.332866606000039)",Unfall 21 (2023) Kat:3, Licht: 0,21,3,3,5,01,13,7,,0,1,0,0,0
"POINT (9.670753378000029 52.382703354000057)",Unfall 22 (2023) Kat:3, Licht: 0,22,3,6,0,01,14,6,,0,0,1,0,0
"POINT (10.115845650000040 52.492822389000082)",Unfall 23 (2023) Kat:3, Licht: 2,23,3,5,1,01,06,6,,2,0,1,0,0
"POINT (9.532488282000031 52.419360492000067)",Unfall 24 (2023) Kat:3, Licht: 1,24,3,6,2,01,17,6,,1,0,1,0,0
"POINT (9.507178639000074 52.407734690000041)",Unfall 25 (2023) Kat:3, Licht: 0,25,3,6,2,01,15,6,,0,0,1,0,0
"POINT (9.789822899000058 52.559597525000072)",Unfall 26 (2023) Kat:3, Licht: 0,26,3,6,2,01,10,6,,0,0,1,0,0
"POINT (9.457223210000052 52.503283127000032)",Unfall 27 (2023) Kat:1, Licht: 2,27,1,2,5,01,06,6,,2,1,0,0,0
"POINT (9.716446047000034 52.397188284000038)",Unfall 28 (2023) Kat:3, Licht: 0,28,3,6,2,01,15,5,,0,0,1,0,0
"POINT (9.712475846000075 52.362520581000069)",Unfall 29 (2023) Kat:3, Licht: 0,29,3,6,2,01,08,5,,0,0,1,0,0
"POINT (9.966785415000061 52.315481374000058)",Unfall 30 (2023) Kat:3, Licht: 0,30,3,2,2,01,09,5,,0,0,1,0,0
"POINT (9.774417099000061 52.371030065000070)",Unfall 31 (2023) Kat:1, Licht: 0,31,1,2,5,01,08,5,,0,1,0,0,0
"POINT (9.727184429000033 52.427619522000043)",Unfall 32 (2023) Kat:3, Licht: 2,32,3,1,8,01,06,5,,2,0,1,0,0
"POINT (9.696080691000077 52.418746819000035)",Unfall 33 (2023) Kat:3, Licht: 0,33,3,3,5,01,15,4,,0,1,1,0,0
"POINT (9.646940343000040 52.397277292000069)",Unfall 34 (2023) Kat:3, Licht: 0,34,3,6,2,01,15,4,,0,0,1,0,0
"POINT (9.928449462000060 52.347229509000044)",Unfall 35 (2023) Kat:3, Licht: 1,35,3,3,5,01,07,4,,1,0,1,0,0
"POINT (9.903667992000067 52.444853134000027)",Unfall 36 (2023) Kat:3, Licht: 1,36,3,3,5,01,07,4,,1,1,1,0,0
