WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (6.716295091000063 51.234598876000064)",Unfall 97449 (2019) Kat:2, Licht: 0,97449,2,2,5,01,10,3,1,0,0,1,0,1,0,0
"POINT (6.916380983000067 51.191790408000031)",Unfall 97539 (2019) Kat:3, Licht: 0,97539,3,3,5,01,09,2,0,0,0,1,0,0,0,1
"POINT (6.771759268000039 51.243203528000038)",Unfall 97540 (2019) Kat:3, Licht: 0,97540,3,6,2,01,10,2,0,0,0,1,0,0,0,0
"POINT (6.795837122000023 51.211090111000033)",Unfall 97541 (2019) Kat:3, Licht: 2,97541,3,2,3,01,18,2,0,2,0,1,0,0,1,0
"POINT (6.760585505000051 51.231671512000048)",Unfall 97649 (2019) Kat:3, Licht: 2,97649,3,7,1,01,17,7,0,2,1,1,0,0,0,0
"POINT (6.859246253000038 51.241982339000060)",Unfall 97757 (2019) Kat:3, Licht: 2,97757,3,4,6,01,07,3,0,2,0,1,1,0,0,0
"POINT (6.864963662000037 51.214365078000071)",Unfall 97783 (2019) Kat:3, Licht: 0,97783,3,2,5,01,15,6,1,0,1,1,0,0,0,0
"POINT (6.805160644000068 51.217443223000032)",Unfall 97784 (2019) Kat:3, Licht: 1,97784,3,5,2,01,15,6,0,1,0,1,0,0,0,0
"POINT (6.772435321000046 51.243714402000080)",Unfall 97787 (2019) Kat:2, Licht: 0,97787,2,7,8,01,10,6,1,0,0,1,0,0,0,0
"POINT (6.848864713000069 51.233399833000078)",Unfall 97788 (2019) Kat:3, Licht: 2,97788,3,7,1,01,20,6,0,2,0,1,0,1,0,0
"POINT (6.796189349000031 51.229610666000042)",Unfall 97789 (2019) Kat:3, Licht: 0,97789,3,2,0,01,15,6,0,0,0,1,0,0,0,1
"POINT (6.803386325000076 51.216224338000075)",Unfall 97795 (2019) Kat:3, Licht: 0,97795,3,2,5,01,09,6,0,0,1,0,0,0,1,0
"POINT (6.860423366000021 51.159078909000073)",Unfall 97830 (2019) Kat:3, Licht: 0,97830,3,1,8,01,14,6,1,0,0,1,0,0,0,0
"POINT (6.771681278000074 51.246776033000060)",Unfall 97831 (2019) Kat:3, Licht: 2,97831,3,6,2,01,17,6,1,2,0,1,0,0,0,0
"POINT (6.727570192000030 51.233044624000058)",Unfall 97832 (2019) Kat:3, Licht: 2,97832,3,1,8,01,22,6,1,2,0,1,0,0,0,0
"POINT (6.796007634000034 51.211052537000057)",Unfall 97833 (2019) Kat:2, Licht: 2,97833,2,2,5,01,06,6,1,2,0,1,0,0,0,0
"POINT (6.858361277000029 51.243114209000055)",Unfall 97899 (2019) Kat:3, Licht: 0,97899,3,3,5,01,13,5,0,0,1,1,0,0,0,0
"POINT (6.809348713000077 51.250733528000069)",Unfall 97900 (2019) Kat:3, Licht: 0,97900,3,6,6,01,13,5,2,0,1,0,1,0,0,0
"POINT (6.801378835000037 51.218357540000056)",Unfall 97901 (2019) Kat:3, Licht: 0,97901,3,2,5,01,15,5,1,0,0,1,0,1,0,0
"POINT (6.864961151000045 51.214362940000058)",Unfall 97983 (2019) Kat:3, Licht: 0,97983,3,2,5,01,12,1,1,0,1,1,0,0,0,0
"POINT (6.839837938000073 51.197824340000068)",Unfall 98021 (2019) Kat:3, Licht: 2,98021,3,2,5,01,18,4,1,2,0,1,0,0,0,0
"POINT (6.854273152000076 51.190244441000061)",Unfall 98066 (2019) Kat:3, Licht: 2,98066,3,6,2,01,18,4,1,2,0,1,0,0,0,0
"POINT (6.821679403000076 51.242205672000068)",Unfall 98481 (2019) Kat:3, Licht: 0,98481,3,3,5,01,13,5,1,0,0,1,0,0,0,0
"POINT (6.770780862000038 51.199982159000058)",Unfall 98519 (2019) Kat:3, Licht: 1,98519,3,4,6,01,08,2,1,1,0,1,1,0,0,0
"POINT (6.890201131000026 51.153260065000040)",Unfall 98521 (2019) Kat:3, Licht: 0,98521,3,1,8,01,09,2,1,0,0,0,0,0,0,1
"POINT (6.814666759000033 51.192749118000052)",Unfall 98601 (2019) Kat:3, Licht: 1,98601,3,6,2,01,08,2,1,1,0,1,0,0,0,1
"POINT (6.908693048000032 51.195612337000057)",Unfall 98662 (2019) Kat:3, Licht: 2,98662,3,6,2,02,06,2,0,2,0,1,0,0,0,0
"POINT (6.771543067000039 51.239566681000042)",Unfall 98663 (2019) Kat:3, Licht: 0,98663,3,6,1,02,09,2,0,0,0,1,0,0,0,0
"POINT (6.786551523000071 51.239702818000069)",Unfall 98664 (2019) Kat:3, Licht: 0,98664,3,2,2,02,14,2,0,0,0,1,0,0,0,0
"POINT (6.908976026000062 51.260783714000070)",Unfall 98833 (2019) Kat:2, Licht: 0,98833,2,7,8,02,16,4,0,0,0,1,0,0,0,0
"POINT (6.800600679000070 51.210579807000045)",Unfall 98836 (2019) Kat:3, Licht: 2,98836,3,6,2,02,18,4,0,2,0,1,0,0,0,0
"POINT (6.821615173000055 51.242261712000072)",Unfall 98864 (2019) Kat:3, Licht: 2,98864,3,6,2,02,04,7,1,2,0,1,0,0,0,0
"POINT (6.914099604000057 51.192244688000073)",Unfall 98913 (2019) Kat:3, Licht: 0,98913,3,1,9,02,11,7,1,0,0,1,0,0,0,0
"POINT (6.791261369000040 51.229006457000025)",Unfall 99016 (2019) Kat:3, Licht: 0,99016,3,6,3,02,11,6,1,0,1,1,0,0,0,0
"POINT (6.905450793000057 51.137890865000031)",Unfall 99023 (2019) Kat:3, Licht: 2,99023,3,2,1,02,17,3,1,2,0,1,0,0,0,0
"POINT (6.914869439000029 51.192734223000059)",Unfall 99026 (2019) Kat:3, Licht: 0,99026,3,6,2,02,12,3,1,0,0,1,0,0,0,0
"POINT (6.803044793000026 51.216578213000048)",Unfall 99027 (2019) Kat:3, Licht: 0,99027,3,2,5,02,15,3,0,0,0,1,0,0,0,1
"POINT (6.786519060000046 51.222780473000057)",Unfall 99029 (2019) Kat:3, Licht: 0,99029,3,2,5,02,16,3,0,0,1,1,0,0,0,0
"POINT (6.809623619000035 51.230226873000049)",Unfall 99089 (2019) Kat:3, Licht: 2,99089,3,6,2,02,19,1,1,2,0,1,0,0,0,1
"POINT (6.746017292000033 51.235763111000040)",Unfall 99113 (2019) Kat:3, Licht: 2,99113,3,6,1,02,19,4,0,2,0,1,0,0,0,0
"POINT (6.770739589000073 51.241738087000044)",Unfall 99172 (2019) Kat:2, Licht: 2,99172,2,3,5,02,18,7,0,2,0,1,0,0,0,0
"POINT (6.888891692000073 51.260846019000041)",Unfall 99173 (2019) Kat:3, Licht: 0,99173,3,6,1,02,16,7,1,0,0,1,0,0,0,0
"POINT (6.800834393000059 51.250671547000081)",Unfall 99177 (2019) Kat:3, Licht: 0,99177,3,2,5,02,10,7,1,0,1,1,0,0,0,0
"POINT (6.752662374000067 51.231616129000031)",Unfall 99178 (2019) Kat:3, Licht: 0,99178,3,2,5,02,11,7,0,0,1,1,0,0,0,0
"POINT (6.788201960000038 51.224811604000081)",Unfall 99180 (2019) Kat:3, Licht: 0,99180,3,4,6,02,11,7,1,0,0,1,1,0,0,0
"POINT (6.787937035000027 51.200855846000081)",Unfall 99436 (2019) Kat:3, Licht: 0,99436,3,6,2,02,15,2,1,0,0,1,0,0,0,1
"POINT (6.857123455000021 51.206305654000062)",Unfall 99438 (2019) Kat:3, Licht: 0,99438,3,6,0,02,12,2,0,0,0,1,0,0,0,1
"POINT (6.863721734000023 51.213189984000053)",Unfall 99441 (2019) Kat:3, Licht: 0,99441,3,5,1,02,16,2,1,0,0,1,0,0,0,0
"POINT (6.856836718000068 51.190347092000081)",Unfall 99513 (2019) Kat:3, Licht: 1,99513,3,6,3,02,08,2,0,1,0,1,0,0,1,0
