WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (8.485266515999999 49.494738663000000)",Unfall 24421 (2016) Kat:3, Licht: 2,24421,3,3,5,02,18,5,,2,0,1,0,1,0,0
"POINT (8.481732309000000 49.531993239999998)",Unfall 24503 (2016) Kat:3, Licht: 0,24503,3,7,5,02,12,6,,0,0,1,0,0,0,0
"POINT (8.484903894000000 49.467367811000003)",Unfall 24524 (2016) Kat:3, Licht: 0,24524,3,6,3,02,15,4,,0,0,1,0,0,1,0
"POINT (8.495522803000000 49.453041226000003)",Unfall 24545 (2016) Kat:3, Licht: 2,24545,3,1,9,02,05,2,,2,0,0,0,1,0,0
"POINT (8.485921726000001 49.466440810000002)",Unfall 24567 (2016) Kat:3, Licht: 0,24567,3,7,5,02,12,2,,0,0,1,0,0,0,1
"POINT (8.544048135000001 49.483049618000003)",Unfall 24579 (2016) Kat:2, Licht: 0,24579,2,5,5,02,16,1,,0,1,1,0,0,0,0
"POINT (8.519628272000000 49.467431306999998)",Unfall 24584 (2016) Kat:3, Licht: 2,24584,3,3,5,02,19,1,,2,0,1,0,0,0,0
"POINT (8.488808868000000 49.498398629999997)",Unfall 24593 (2016) Kat:3, Licht: 2,24593,3,2,4,02,00,6,,2,0,1,0,0,0,0
"POINT (8.457159188000000 49.545118879999997)",Unfall 24622 (2016) Kat:3, Licht: 0,24622,3,6,2,02,16,2,,0,0,1,0,0,0,0
"POINT (8.565285350000000 49.465027935000002)",Unfall 24624 (2016) Kat:3, Licht: 0,24624,3,6,2,02,14,3,,0,0,1,0,0,0,0
"POINT (8.523536719000001 49.438475201999999)",Unfall 24694 (2016) Kat:3, Licht: 2,24694,3,3,5,02,06,5,,2,0,1,0,0,0,0
"POINT (8.523541198000000 49.438466062000003)",Unfall 24703 (2016) Kat:3, Licht: 2,24703,3,3,5,02,20,4,,2,0,1,0,0,0,0
"POINT (8.500252400000001 49.474287306999997)",Unfall 24750 (2016) Kat:3, Licht: 0,24750,3,2,5,02,16,3,,0,0,1,0,0,0,1
"POINT (8.475918087000000 49.474888829999998)",Unfall 24787 (2016) Kat:3, Licht: 2,24787,3,6,3,02,05,5,,2,0,1,0,0,1,0
"POINT (8.448987765000000 49.554453576000000)",Unfall 24799 (2016) Kat:3, Licht: 0,24799,3,1,8,02,17,7,,0,0,1,0,0,0,0
"POINT (8.473965439000001 49.479591935999998)",Unfall 24802 (2016) Kat:3, Licht: 0,24802,3,6,2,02,17,5,,0,0,1,0,0,0,0
"POINT (8.505630187000000 49.506835350000003)",Unfall 24812 (2016) Kat:2, Licht: 0,24812,2,2,6,02,15,3,,0,0,1,1,0,0,1
"POINT (8.540310854000000 49.438313878999999)",Unfall 24920 (2016) Kat:3, Licht: 2,24920,3,6,3,02,19,1,,2,0,1,0,0,0,0
"POINT (8.512330999000000 49.488845220000002)",Unfall 24922 (2016) Kat:3, Licht: 0,24922,3,3,5,02,08,3,,0,1,1,0,0,0,0
"POINT (8.480469604000000 49.489523974999997)",Unfall 25010 (2016) Kat:2, Licht: 0,25010,2,6,3,02,07,6,,0,0,0,0,1,0,1
"POINT (8.546070760999999 49.482494756999998)",Unfall 25017 (2016) Kat:3, Licht: 0,25017,3,2,5,02,15,3,,0,0,1,0,0,0,0
"POINT (8.571497956000000 49.451201634999997)",Unfall 25024 (2016) Kat:3, Licht: 0,25024,3,6,2,02,16,2,,0,0,1,0,0,0,0
"POINT (8.517193001000001 49.465991656000000)",Unfall 25053 (2016) Kat:2, Licht: 0,25053,2,6,3,02,09,6,,0,0,1,0,0,1,0
"POINT (8.544445647000000 49.482855440999998)",Unfall 25133 (2016) Kat:3, Licht: 2,25133,3,6,1,02,21,7,,2,0,1,0,0,0,0
"POINT (8.522856417000000 49.473443076000002)",Unfall 25142 (2016) Kat:3, Licht: 0,25142,3,6,1,02,14,3,,0,0,1,0,0,1,0
"POINT (8.480918772000001 49.534405833000001)",Unfall 25150 (2016) Kat:3, Licht: 2,25150,3,2,5,02,22,2,,2,0,1,0,0,0,0
"POINT (8.569380269000000 49.439655182000003)",Unfall 25212 (2016) Kat:3, Licht: 0,25212,3,6,2,02,16,2,,0,0,1,0,1,0,0
"POINT (8.550872797000000 49.520163912999998)",Unfall 25243 (2016) Kat:2, Licht: 2,25243,2,6,3,02,02,1,,2,0,1,0,0,0,1
"POINT (8.516506322000000 49.488732880000001)",Unfall 25320 (2016) Kat:3, Licht: 0,25320,3,6,3,02,14,1,,0,0,1,0,0,0,0
"POINT (8.488669810999999 49.498116295999999)",Unfall 25325 (2016) Kat:3, Licht: 0,25325,3,2,5,03,15,4,,0,0,0,0,0,1,1
"POINT (8.484284908999999 49.493526551999999)",Unfall 25421 (2016) Kat:3, Licht: 0,25421,3,3,1,02,14,2,,0,1,0,0,0,1,0
