WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.646330371000033 52.400172476000080)",Unfall 8290 (2018) Kat:3, Licht: 0,8290,3,2,2,01,12,6,1,0,0,1,0,0
"POINT (10.026012233000074 52.380976879000059)",Unfall 8381 (2018) Kat:3, Licht: 0,8381,3,6,2,01,11,7,0,0,0,1,0,0
"POINT (9.766617352000026 52.340256203000081)",Unfall 8400 (2018) Kat:3, Licht: 2,8400,3,6,2,01,17,5,1,2,0,1,0,0
"POINT (9.665529623000055 52.333081720000052)",Unfall 8409 (2018) Kat:3, Licht: 2,8409,3,1,0,01,03,4,1,2,0,0,0,1
"POINT (9.978073253000048 52.316532134000056)",Unfall 8446 (2018) Kat:3, Licht: 0,8446,3,3,5,01,08,5,1,0,0,1,0,0
"POINT (9.618920819000039 52.428429316000063)",Unfall 8501 (2018) Kat:3, Licht: 2,8501,3,6,2,01,17,6,0,2,0,1,0,0
"POINT (9.613538860000062 52.392190656000082)",Unfall 8541 (2018) Kat:3, Licht: 2,8541,3,3,5,01,17,7,0,2,1,1,0,0
"POINT (10.034070878000023 52.378683572000057)",Unfall 8564 (2018) Kat:3, Licht: 2,8564,3,6,2,01,18,1,0,2,0,1,0,0
"POINT (10.121352551000030 52.369363008000050)",Unfall 8596 (2018) Kat:3, Licht: 0,8596,3,6,4,01,16,3,1,0,0,1,0,0
"POINT (9.429986461000055 52.426168440000026)",Unfall 8607 (2018) Kat:3, Licht: 2,8607,3,4,6,01,18,5,1,2,0,1,1,0
"POINT (9.963940036000054 52.316034063000075)",Unfall 8618 (2018) Kat:3, Licht: 1,8618,3,2,5,01,07,4,1,1,1,1,0,0
"POINT (9.697102799000049 52.341540381000073)",Unfall 8658 (2018) Kat:2, Licht: 2,8658,2,2,5,01,17,5,1,2,1,1,0,0
"POINT (9.798555452000073 52.416857679000032)",Unfall 8730 (2018) Kat:3, Licht: 0,8730,3,7,6,01,09,6,1,0,0,1,1,0
"POINT (9.735877317000075 52.401478784000062)",Unfall 8736 (2018) Kat:2, Licht: 2,8736,2,4,6,01,02,2,1,2,0,1,1,0
