WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.604970313000024 52.280969008000056)",Unfall 14569 (2017) Kat:3, Licht: 0,14569,3,3,5,04,14,4,0,0,0,1,0,0,,0
"POINT (10.519573227000024 52.278893389000075)",Unfall 14859 (2017) Kat:3, Licht: 0,14859,3,2,5,05,08,3,0,0,1,1,0,0,,0
"POINT (10.492259969000031 52.256202746000042)",Unfall 14931 (2017) Kat:3, Licht: 0,14931,3,6,2,05,16,2,0,0,0,1,0,0,,0
"POINT (10.511035108000044 52.281682900000078)",Unfall 14932 (2017) Kat:2, Licht: 0,14932,2,6,2,05,13,2,0,0,0,1,0,0,,0
"POINT (10.530067528000075 52.231740039000044)",Unfall 15275 (2017) Kat:3, Licht: 0,15275,3,6,2,05,13,6,1,0,0,1,0,0,,0
"POINT (10.454965615000049 52.285214195000037)",Unfall 15574 (2017) Kat:3, Licht: 0,15574,3,7,3,05,11,7,0,0,0,1,0,0,,0
"POINT (10.471804027000076 52.238804320000042)",Unfall 15908 (2017) Kat:3, Licht: 2,15908,3,1,8,06,23,7,1,2,0,1,0,0,,0
"POINT (10.534096940000040 52.215954235000027)",Unfall 15909 (2017) Kat:2, Licht: 0,15909,2,4,6,06,11,7,0,0,0,0,1,0,,1
"POINT (10.492247111000040 52.209545564000052)",Unfall 16332 (2017) Kat:3, Licht: 0,16332,3,3,5,06,08,3,0,0,0,1,0,0,,0
"POINT (10.472186582000063 52.267785107000066)",Unfall 16547 (2017) Kat:3, Licht: 0,16547,3,2,2,06,15,1,0,0,0,1,0,0,,0
"POINT (10.479579980000040 52.297938224000063)",Unfall 16779 (2017) Kat:3, Licht: 0,16779,3,1,9,06,14,1,1,0,0,1,0,0,,0
"POINT (10.500512917000037 52.225316472000031)",Unfall 17014 (2017) Kat:3, Licht: 1,17014,3,6,2,06,18,6,1,1,0,1,0,0,,0
"POINT (10.515407064000044 52.307211782000081)",Unfall 17020 (2017) Kat:3, Licht: 0,17020,3,6,2,06,11,6,1,0,0,1,0,0,,0
"POINT (10.533857527000066 52.313414979000072)",Unfall 17310 (2017) Kat:3, Licht: 0,17310,3,6,2,06,09,3,0,0,0,0,0,0,,1
"POINT (10.531096410000032 52.345322927000041)",Unfall 17468 (2017) Kat:2, Licht: 0,17468,2,7,4,07,09,1,0,0,0,1,0,0,,1
"POINT (10.526005479000048 52.275421391000066)",Unfall 17580 (2017) Kat:3, Licht: 0,17580,3,6,2,07,12,6,0,0,0,1,0,0,,0
"POINT (10.523485728000026 52.236977508000052)",Unfall 17732 (2017) Kat:3, Licht: 0,17732,3,6,2,07,16,5,0,0,0,1,0,0,,1
"POINT (10.490093321000074 52.283546343000069)",Unfall 17838 (2017) Kat:3, Licht: 0,17838,3,1,9,07,10,4,1,0,0,1,0,0,,0
"POINT (10.493491770000048 52.201710503000072)",Unfall 18084 (2017) Kat:3, Licht: 0,18084,3,3,5,08,12,4,0,0,0,1,0,0,,0
"POINT (10.510144385000046 52.306213947000060)",Unfall 18107 (2017) Kat:2, Licht: 0,18107,2,1,8,08,15,6,0,0,0,1,0,0,,0
"POINT (10.526100919000044 52.236497473000043)",Unfall 18200 (2017) Kat:3, Licht: 0,18200,3,7,4,07,07,3,1,0,0,1,0,0,,1
"POINT (10.492194030000064 52.275585676000048)",Unfall 18204 (2017) Kat:3, Licht: 0,18204,3,6,2,07,17,3,1,0,0,1,0,0,,1
"POINT (10.521382353000035 52.275097895000044)",Unfall 18205 (2017) Kat:3, Licht: 0,18205,3,2,4,08,07,5,1,0,0,1,0,0,,0
"POINT (10.478419600000052 52.298669494000080)",Unfall 18207 (2017) Kat:3, Licht: 0,18207,3,1,9,07,15,3,1,0,0,1,0,0,,0
"POINT (10.608665890000054 52.246958057000029)",Unfall 18281 (2017) Kat:3, Licht: 0,18281,3,6,9,08,19,3,0,0,0,1,0,0,,0
"POINT (10.454214162000028 52.260722609000027)",Unfall 18348 (2017) Kat:3, Licht: 0,18348,3,6,2,07,17,2,1,0,0,1,0,0,,0
"POINT (10.452749363000066 52.315905483000051)",Unfall 18351 (2017) Kat:3, Licht: 0,18351,3,1,4,07,16,2,1,0,0,1,0,0,,1
"POINT (10.492348469000035 52.211855890000038)",Unfall 18455 (2017) Kat:2, Licht: 0,18455,2,1,0,07,11,1,1,0,0,0,0,1,,0
"POINT (10.569315418000031 52.214224421000040)",Unfall 18513 (2017) Kat:1, Licht: 2,18513,1,3,5,07,22,1,0,2,0,0,0,1,,1
"POINT (10.491092916000071 52.210552755000037)",Unfall 18678 (2017) Kat:3, Licht: 0,18678,3,6,9,08,12,5,0,0,0,1,0,0,,1
"POINT (10.556581990000041 52.314423375000047)",Unfall 18681 (2017) Kat:3, Licht: 0,18681,3,3,5,07,17,6,0,0,0,1,0,0,,0
"POINT (10.528885828000057 52.200625730000070)",Unfall 19081 (2017) Kat:2, Licht: 2,19081,2,7,9,08,03,2,0,2,0,1,0,0,,0
"POINT (10.523929230000022 52.237033095000072)",Unfall 19083 (2017) Kat:3, Licht: 0,19083,3,1,0,08,07,2,0,0,0,0,0,1,,0
