WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.887740349000000 48.323674189000002)",Unfall 64044 (2016) Kat:3, Licht: 0,64044,3,1,3,02,13,7,,0,0,1,0,0,0,0
"POINT (10.934594790000000 48.382069262999998)",Unfall 64169 (2016) Kat:3, Licht: 2,64169,3,6,2,02,18,6,,2,0,1,0,0,0,0
"POINT (10.920366602000000 48.401881811000003)",Unfall 64191 (2016) Kat:3, Licht: 0,64191,3,6,2,02,07,4,,0,0,1,0,0,0,0
"POINT (10.880609569000001 48.385664026000001)",Unfall 64307 (2016) Kat:3, Licht: 0,64307,3,2,6,02,07,5,,0,0,1,1,0,0,0
"POINT (10.903374453000000 48.350558882000001)",Unfall 64365 (2016) Kat:3, Licht: 0,64365,3,6,2,02,10,5,,0,0,1,0,0,0,0
"POINT (10.856352065999999 48.373458278000001)",Unfall 64410 (2016) Kat:3, Licht: 2,64410,3,3,5,03,19,6,,2,0,1,0,0,0,0
"POINT (10.899042312000001 48.337508219999997)",Unfall 64454 (2016) Kat:3, Licht: 0,64454,3,6,2,02,14,7,,0,0,1,0,0,0,0
"POINT (10.907449228999999 48.311834245999997)",Unfall 64620 (2016) Kat:3, Licht: 2,64620,3,2,5,02,20,1,,2,0,1,0,0,0,0
"POINT (10.936120640000000 48.382810206999999)",Unfall 64670 (2016) Kat:3, Licht: 0,64670,3,7,0,02,14,7,,0,0,1,0,0,0,0
"POINT (10.859492651000000 48.385817093000000)",Unfall 64699 (2016) Kat:3, Licht: 0,64699,3,6,2,02,13,6,,0,0,1,0,0,0,0
"POINT (10.896439365000001 48.308951407000002)",Unfall 64957 (2016) Kat:3, Licht: 0,64957,3,3,5,03,08,5,,0,0,1,0,0,0,0
"POINT (10.933027674000000 48.372987979000001)",Unfall 65009 (2016) Kat:3, Licht: 1,65009,3,3,5,03,06,4,,1,0,1,0,1,0,0
"POINT (10.919482495000000 48.355287726999997)",Unfall 65128 (2016) Kat:3, Licht: 0,65128,3,6,2,03,09,2,,0,0,1,0,0,0,0
"POINT (10.898927952999999 48.337645870999999)",Unfall 65195 (2016) Kat:3, Licht: 0,65195,3,2,4,03,06,5,,0,1,1,0,0,0,0
"POINT (10.868096985999999 48.348707535999999)",Unfall 65248 (2016) Kat:3, Licht: 0,65248,3,3,3,03,16,4,,0,0,1,0,0,1,0
"POINT (10.906493036000001 48.310103507999997)",Unfall 65368 (2016) Kat:3, Licht: 0,65368,3,2,4,03,17,4,,0,0,1,0,0,0,0
"POINT (10.868945856000000 48.398036499000000)",Unfall 65371 (2016) Kat:3, Licht: 0,65371,3,6,2,03,09,2,,0,0,1,0,0,1,0
"POINT (10.909105733000001 48.318751718999998)",Unfall 65451 (2016) Kat:3, Licht: 2,65451,3,3,5,03,18,7,,2,0,1,0,0,0,0
"POINT (10.868070173000000 48.339262595000001)",Unfall 65582 (2016) Kat:3, Licht: 0,65582,3,3,5,03,15,5,,0,0,1,0,1,0,0
"POINT (10.893635962999999 48.382566943000000)",Unfall 65637 (2016) Kat:3, Licht: 0,65637,3,2,4,03,15,5,,0,0,1,0,1,0,0
"POINT (10.904799660000000 48.346683564999999)",Unfall 65673 (2016) Kat:3, Licht: 0,65673,3,6,2,03,16,3,,0,0,1,0,0,0,0
"POINT (10.889306830000001 48.340297677000002)",Unfall 65728 (2016) Kat:3, Licht: 0,65728,3,3,3,03,11,3,,0,0,1,0,0,1,0
"POINT (10.887333189000000 48.385203877999999)",Unfall 65742 (2016) Kat:3, Licht: 0,65742,3,3,5,03,13,5,,0,1,1,0,0,0,0
"POINT (10.904986315000000 48.382668653000003)",Unfall 65932 (2016) Kat:3, Licht: 2,65932,3,6,2,03,01,7,,2,1,0,0,0,0,0
"POINT (10.909995116999999 48.364487949999997)",Unfall 66007 (2016) Kat:3, Licht: 0,66007,3,4,6,03,16,1,,0,0,0,1,1,0,0
"POINT (10.927279868999999 48.355180322000002)",Unfall 66077 (2016) Kat:3, Licht: 0,66077,3,6,2,03,06,6,,0,0,1,0,0,0,0
"POINT (10.898676262000000 48.379603949000000)",Unfall 66112 (2016) Kat:3, Licht: 0,66112,3,6,2,03,12,7,,0,0,1,0,0,0,0
"POINT (10.883785573999999 48.310173685999999)",Unfall 66136 (2016) Kat:3, Licht: 0,66136,3,7,0,03,10,6,,0,0,1,0,0,0,0
"POINT (10.908541361999999 48.354861616999997)",Unfall 66143 (2016) Kat:2, Licht: 2,66143,2,2,5,03,19,4,,2,0,1,0,0,0,0
"POINT (10.915497007000001 48.355940875999998)",Unfall 66260 (2016) Kat:3, Licht: 0,66260,3,2,5,03,09,7,,0,0,1,0,0,0,0
"POINT (10.919324853000001 48.368173966000001)",Unfall 66408 (2016) Kat:3, Licht: 0,66408,3,2,3,03,15,7,,0,1,1,0,0,0,0
"POINT (10.884312224000000 48.311466926000001)",Unfall 66436 (2016) Kat:3, Licht: 0,66436,3,6,2,03,13,4,,0,0,1,0,0,1,0
