WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
POINT (8.682462159000000 50.107047752000000),Unfall 10005 (2016) Kat:3 Licht:2,10005,3,3,5,01,17,5,,2,1,0,0,0
POINT (8.617537634000000 50.088779739000003),Unfall 10015 (2016) Kat:3 Licht:1,10015,3,6,3,01,16,2,,1,0,1,0,0
POINT (8.733033344000001 50.131085198999997),Unfall 10027 (2016) Kat:3 Licht:2,10027,3,4,6,01,18,7,,2,0,1,1,0
POINT (8.693733704000000 50.129648768999999),Unfall 10028 (2016) Kat:3 Licht:0,10028,3,4,6,01,11,5,,0,1,0,1,0
POINT (8.727649564000000 50.116717238000000),Unfall 10033 (2016) Kat:2 Licht:1,10033,2,2,6,01,17,4,,1,0,1,1,0
POINT (8.717921040000000 50.113516922999999),Unfall 10037 (2016) Kat:3 Licht:0,10037,3,3,5,01,14,4,,0,1,1,0,0
POINT (8.739317816000000 50.131515106000002),Unfall 10041 (2016) Kat:2 Licht:2,10041,2,2,5,01,00,1,,2,0,1,0,0
POINT (8.629173370000000 50.129719680999997),Unfall 10045 (2016) Kat:3 Licht:2,10045,3,6,2,01,21,3,,2,0,1,0,0
POINT (8.670818607999999 50.148968984000000),Unfall 10051 (2016) Kat:3 Licht:0,10051,3,2,6,01,08,2,,0,0,1,1,0
POINT (8.710146700999999 50.111401538999999),Unfall 10074 (2016) Kat:3 Licht:2,10074,3,6,2,01,06,2,,2,0,1,0,0
POINT (8.602137579000001 50.109994385000000),Unfall 10075 (2016) Kat:3 Licht:0,10075,3,6,0,01,18,4,,0,0,1,0,0
POINT (8.711164885000001 50.125333396000002),Unfall 10078 (2016) Kat:3 Licht:0,10078,3,2,5,01,12,4,,0,1,1,0,0
POINT (8.587531088000000 50.056895320999999),Unfall 10080 (2016) Kat:3 Licht:0,10080,3,1,0,01,15,4,,0,0,0,0,1
POINT (8.597520427999999 50.100299515000003),Unfall 10084 (2016) Kat:3 Licht:0,10084,3,6,2,01,11,1,,0,0,1,0,0
POINT (8.586527118999999 50.053944401000003),Unfall 10091 (2016) Kat:2 Licht:2,10091,2,7,0,01,18,3,,2,0,1,0,0
POINT (8.643889205000001 50.057617018000002),Unfall 10094 (2016) Kat:3 Licht:0,10094,3,1,8,01,11,7,,0,0,1,0,0
POINT (8.611821914000000 50.124470164999998),Unfall 10117 (2016) Kat:3 Licht:2,10117,3,6,6,01,18,5,,2,0,1,1,0
POINT (8.573555086000001 50.128321978000002),Unfall 10131 (2016) Kat:3 Licht:0,10131,3,6,3,01,08,4,,0,0,1,0,0
POINT (8.721471445000001 50.158139155000001),Unfall 10141 (2016) Kat:3 Licht:0,10141,3,6,2,01,16,5,,0,0,1,0,0
POINT (8.538356808000000 50.110845337999997),Unfall 10147 (2016) Kat:3 Licht:2,10147,3,3,5,01,18,2,,2,0,1,0,0
POINT (8.654137089000001 50.112218986999999),Unfall 10151 (2016) Kat:2 Licht:0,10151,2,4,6,01,14,6,,0,0,1,1,0
POINT (8.741322297000000 50.133960154999997),Unfall 10169 (2016) Kat:3 Licht:0,10169,3,2,5,01,08,5,,0,1,0,0,0
POINT (8.667557483000000 50.104292608000002),Unfall 10172 (2016) Kat:3 Licht:2,10172,3,2,6,01,19,5,,2,0,1,1,0
POINT (8.688977615000001 50.158416045000003),Unfall 10185 (2016) Kat:3 Licht:1,10185,3,4,6,01,07,2,,1,0,1,1,0
POINT (8.701404788000000 50.123005358000000),Unfall 10193 (2016) Kat:2 Licht:1,10193,2,3,5,01,16,5,,1,1,1,0,0
POINT (8.602366467000000 50.155914694000003),Unfall 10196 (2016) Kat:3 Licht:2,10196,3,6,2,01,21,2,,2,0,1,0,0
POINT (8.692048176000000 50.143933718000000),Unfall 10205 (2016) Kat:3 Licht:2,10205,3,2,2,01,17,4,,2,1,1,0,0
POINT (8.624488745000001 50.138937628000001),Unfall 10211 (2016) Kat:3 Licht:0,10211,3,3,5,01,15,3,,0,0,1,0,0
POINT (8.542114163000001 50.107492952000001),Unfall 10213 (2016) Kat:3 Licht:2,10213,3,6,2,01,16,5,,2,0,1,0,0
POINT (8.591115887000001 50.052955167999997),Unfall 10216 (2016) Kat:3 Licht:0,10216,3,6,3,01,13,2,,0,0,1,0,0
POINT (8.557645299000001 50.048476327000003),Unfall 10217 (2016) Kat:3 Licht:1,10217,3,6,2,01,17,6,,1,0,1,0,0
POINT (8.670813037000000 50.097657609999999),Unfall 10218 (2016) Kat:3 Licht:2,10218,3,6,2,01,18,4,,2,0,1,0,0
POINT (8.591234852000000 50.053575424000002),Unfall 10237 (2016) Kat:3 Licht:0,10237,3,7,2,01,09,2,,0,0,1,0,0
POINT (8.663110713000000 50.108249893999997),Unfall 10240 (2016) Kat:3 Licht:0,10240,3,6,0,01,11,2,,0,1,0,0,0
POINT (8.719934428000000 50.064506590999997),Unfall 10241 (2016) Kat:3 Licht:2,10241,3,6,3,01,18,4,,2,0,1,0,0
POINT (8.635464996000000 50.156189865000002),Unfall 10252 (2016) Kat:3 Licht:2,10252,3,6,2,01,19,6,,2,0,1,0,0
POINT (8.716093457000000 50.123886487999997),Unfall 10253 (2016) Kat:3 Licht:0,10253,3,6,2,01,13,2,,0,0,1,0,0
POINT (8.648310475000001 50.085598861999998),Unfall 10268 (2016) Kat:3 Licht:2,10268,3,1,0,01,20,6,,2,0,0,0,1
POINT (8.702228356999999 50.159646723000002),Unfall 10290 (2016) Kat:3 Licht:2,10290,3,1,8,01,07,7,,2,0,1,0,0
POINT (8.556195051000000 50.114721361000001),Unfall 10292 (2016) Kat:2 Licht:0,10292,2,3,5,01,08,4,,0,0,1,0,0
POINT (8.640707995000000 50.198271126999998),Unfall 10294 (2016) Kat:3 Licht:2,10294,3,6,2,01,17,5,,2,0,1,0,0
POINT (8.606059201000001 50.055879369000003),Unfall 10297 (2016) Kat:3 Licht:2,10297,3,1,8,01,18,1,,2,0,1,0,0
POINT (8.677872894000000 50.105431234000001),Unfall 10313 (2016) Kat:3 Licht:2,10313,3,2,6,01,19,6,,2,0,1,1,0
POINT (8.692463441999999 50.106946624999999),Unfall 10318 (2016) Kat:2 Licht:2,10318,2,6,2,01,04,6,,2,0,1,0,1
POINT (8.606005964000000 50.056359446000002),Unfall 10320 (2016) Kat:3 Licht:0,10320,3,6,3,01,08,2,,0,0,1,0,0
POINT (8.583810577000000 50.100023299000000),Unfall 10326 (2016) Kat:3 Licht:2,10326,3,1,9,01,01,7,,2,0,1,0,0
POINT (8.713771231999999 50.124583166999997),Unfall 10327 (2016) Kat:3 Licht:2,10327,3,3,5,01,23,6,,2,0,1,0,0
POINT (8.660032975000000 50.101896283999999),Unfall 10340 (2016) Kat:3 Licht:2,10340,3,6,3,01,19,6,,2,1,1,0,0
POINT (8.573687653000000 50.129280274000003),Unfall 10354 (2016) Kat:3 Licht:2,10354,3,1,9,01,00,1,,2,0,1,0,0
POINT (8.733406779999999 50.114750219999998),Unfall 10360 (2016) Kat:3 Licht:2,10360,3,6,2,01,18,5,,2,0,1,0,0
POINT (8.632484814000000 50.101932095999999),Unfall 10365 (2016) Kat:3 Licht:0,10365,3,6,2,01,15,6,,0,0,1,0,0
POINT (8.766300109000000 50.132445248000003),Unfall 10368 (2016) Kat:3 Licht:2,10368,3,6,2,01,17,7,,2,0,1,0,0
POINT (8.544235000000001 50.119463373000002),Unfall 10374 (2016) Kat:3 Licht:2,10374,3,1,9,01,02,7,,2,0,1,0,0
POINT (8.694384664999999 50.101673409000000),Unfall 10375 (2016) Kat:3 Licht:0,10375,3,1,0,01,07,4,,0,0,0,0,1
POINT (8.765902259000001 50.132492943000003),Unfall 10381 (2016) Kat:3 Licht:2,10381,3,7,5,01,21,2,,2,0,1,0,0
POINT (8.711068757000000 50.125361089000002),Unfall 10385 (2016) Kat:3 Licht:0,10385,3,6,2,02,15,2,,0,0,1,0,0
