WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (8.598790986000040 52.070918403000064)","Unfall 25369 (2024) Kat:2, Licht: 0","25369","2","2","6","01","15","5","","0","0","1","1","0"
"POINT (8.478865416000076 52.074383172000068)","Unfall 25370 (2024) Kat:3, Licht: 2","25370","3","6","4","01","18","5","","2","0","1","0","0"
"POINT (8.516974382000058 51.944437916000027)","Unfall 25540 (2024) Kat:2, Licht: 2","25540","2","1","8","01","06","3","","2","0","0","0","0"
"POINT (8.504807923000044 51.983341251000070)","Unfall 25635 (2024) Kat:3, Licht: 0","25635","3","7","0","01","14","2","","0","0","0","0","0"
"POINT (8.527624918000072 52.017088137000030)","Unfall 25636 (2024) Kat:3, Licht: 0","25636","3","4","6","01","15","2","","0","0","1","1","0"
"POINT (8.545807915000069 52.044372090000081)","Unfall 25637 (2024) Kat:3, Licht: 2","25637","3","3","5","01","07","2","","2","0","1","0","0"
"POINT (8.585400405000030 51.961822849000043)","Unfall 25697 (2024) Kat:3, Licht: 1","25697","3","6","8","01","13","1","","1","0","1","0","0"
"POINT (8.639356341000052 52.055483320000064)","Unfall 25698 (2024) Kat:3, Licht: 2","25698","3","3","5","01","02","1","","2","0","1","0","0"
"POINT (8.504838130000053 52.006189135000056)","Unfall 25729 (2024) Kat:3, Licht: 2","25729","3","7","9","01","22","1","","2","0","1","0","0"
"POINT (8.574446700000067 51.951338295000028)","Unfall 25999 (2024) Kat:3, Licht: 2","25999","3","6","2","01","20","5","","2","0","1","0","0"
"POINT (8.572160359000065 52.001426522000031)","Unfall 26000 (2024) Kat:3, Licht: 0","26000","3","2","4","01","13","5","","0","0","1","0","0"
"POINT (8.586188637000021 52.049408048000032)","Unfall 26001 (2024) Kat:2, Licht: 2","26001","2","6","4","01","22","5","","2","1","1","0","0"
"POINT (8.459432811000056 51.966900686000031)","Unfall 26015 (2024) Kat:3, Licht: 2","26015","3","3","0","01","17","2","","2","1","1","0","0"
"POINT (8.551659952000023 52.013170238000043)","Unfall 26087 (2024) Kat:2, Licht: 2","26087","2","4","6","01","17","4","","2","0","1","1","0"
"POINT (8.543675140000062 52.039000741000052)","Unfall 26088 (2024) Kat:3, Licht: 1","26088","3","6","2","01","16","4","","1","0","1","0","0"
"POINT (8.575586283000064 52.038099839000040)","Unfall 26181 (2024) Kat:3, Licht: 0","26181","3","6","2","01","14","3","","0","0","1","0","0"
"POINT (8.550021893000064 52.008690725000065)","Unfall 26183 (2024) Kat:3, Licht: 0","26183","3","2","5","01","14","3","","0","1","1","0","0"
"POINT (8.636211508000031 52.026008072000081)","Unfall 26261 (2024) Kat:3, Licht: 0","26261","3","1","2","01","13","2","","0","0","1","0","0"
"POINT (8.565386569000054 52.024206101000061)","Unfall 26315 (2024) Kat:3, Licht: 2","26315","3","2","6","01","18","1","","2","0","1","1","0"
"POINT (8.593608678000066 52.071258363000027)","Unfall 26363 (2024) Kat:3, Licht: 2","26363","3","6","1","02","19","1","","2","0","1","0","0"
"POINT (8.528144805000068 51.925461822000045)","Unfall 26484 (2024) Kat:2, Licht: 2","26484","2","6","3","02","02","6","","2","0","1","0","0"
"POINT (8.517164934000050 52.014100459000076)","Unfall 26486 (2024) Kat:3, Licht: 0","26486","3","1","9","02","09","6","","0","0","1","0","0"
"POINT (8.558218896000028 52.001691302000040)","Unfall 26556 (2024) Kat:3, Licht: 0","26556","3","2","5","02","07","5","","0","1","1","0","0"
"POINT (8.498582222000039 52.095363289000034)","Unfall 26558 (2024) Kat:3, Licht: 2","26558","3","1","8","02","20","5","","2","0","1","0","0"
"POINT (8.519532779000031 52.057520171000078)","Unfall 26559 (2024) Kat:3, Licht: 2","26559","3","6","2","02","17","5","","2","0","1","0","0"
"POINT (8.552891095000064 52.056954472000029)","Unfall 26560 (2024) Kat:3, Licht: 2","26560","3","2","4","02","18","5","","2","0","1","0","0"
"POINT (8.598476136000045 51.965781591000052)","Unfall 26643 (2024) Kat:2, Licht: 2","26643","2","1","9","02","06","4","","2","0","1","0","0"
"POINT (8.645085025000071 52.038510371000029)","Unfall 26717 (2024) Kat:3, Licht: 0","26717","3","1","2","02","07","3","","0","0","1","0","0"
"POINT (8.466089730000022 51.970165852000036)","Unfall 26718 (2024) Kat:3, Licht: 0","26718","3","3","5","02","09","3","","0","1","1","0","0"
"POINT (8.639705567000021 52.055779662000077)","Unfall 26719 (2024) Kat:3, Licht: 0","26719","3","6","2","02","15","3","","0","0","1","0","0"
"POINT (8.485828992000052 52.036721396000075)","Unfall 26720 (2024) Kat:3, Licht: 2","26720","3","3","5","02","19","3","","2","1","1","0","0"
"POINT (8.556126433000031 52.062705264000044)","Unfall 26721 (2024) Kat:3, Licht: 2","26721","3","3","5","02","06","3","","2","0","1","0","0"
"POINT (8.633377360000054 51.972895947000040)","Unfall 26808 (2024) Kat:3, Licht: 2","26808","3","1","8","02","22","2","","2","0","1","0","0"
"POINT (8.598020925000071 52.039661900000056)","Unfall 26809 (2024) Kat:3, Licht: 0","26809","3","2","4","02","10","2","","0","0","1","0","0"
"POINT (8.548442588000057 52.006712165000067)","Unfall 26867 (2024) Kat:3, Licht: 2","26867","3","2","6","02","19","1","","2","0","1","1","0"
"POINT (8.559016288000066 52.004477353000027)","Unfall 26869 (2024) Kat:2, Licht: 0","26869","2","1","2","02","14","1","","0","0","1","0","1"
"POINT (8.524296932000027 52.017135517000042)","Unfall 27008 (2024) Kat:3, Licht: 2","27008","3","6","2","02","06","6","","2","0","1","0","0"
"POINT (8.628293370000051 51.991184409000027)","Unfall 27097 (2024) Kat:3, Licht: 0","27097","3","1","2","02","15","5","","0","0","1","0","0"
"POINT (8.554910812000060 52.031120899000030)","Unfall 27098 (2024) Kat:3, Licht: 2","27098","3","3","5","02","05","5","","2","1","1","0","0"
"POINT (8.520496961000049 52.026743743000054)","Unfall 27099 (2024) Kat:3, Licht: 0","27099","3","7","7","02","13","5","","0","1","0","0","0"
"POINT (8.543202373000042 52.036465588000056)","Unfall 27100 (2024) Kat:3, Licht: 2","27100","3","3","1","02","06","5","","2","1","1","0","0"
"POINT (8.476832539000043 52.006686445000071)","Unfall 27246 (2024) Kat:3, Licht: 2","27246","3","2","5","01","05","3","","2","0","1","0","0"
"POINT (8.537585406000062 51.939105557000062)","Unfall 27477 (2024) Kat:3, Licht: 0","27477","3","6","2","01","14","7","","0","0","1","0","0"
"POINT (8.511419670000066 51.946501636000050)","Unfall 27478 (2024) Kat:3, Licht: 2","27478","3","1","8","01","01","7","","2","0","1","0","0"
"POINT (8.555077147000077 52.035991027000080)","Unfall 27479 (2024) Kat:2, Licht: 2","27479","2","1","9","01","06","7","","2","0","1","0","0"
"POINT (8.465621404000046 51.970605769000031)","Unfall 27585 (2024) Kat:3, Licht: 0","27585","3","2","0","01","15","6","","0","1","1","0","0"
"POINT (8.639106087000073 52.055294554000056)","Unfall 27586 (2024) Kat:3, Licht: 0","27586","3","6","2","01","14","6","","0","0","1","0","0"
"POINT (8.514022748000059 52.094351882000069)","Unfall 27587 (2024) Kat:3, Licht: 2","27587","3","3","5","01","17","6","","2","0","1","0","0"
"POINT (8.598450685000046 51.995850318000066)","Unfall 27698 (2024) Kat:3, Licht: 0","27698","3","1","2","01","10","5","","0","0","1","0","0"
"POINT (8.658746715000063 52.056705939000040)","Unfall 27927 (2024) Kat:3, Licht: 0","27927","3","1","8","01","08","3","","0","0","0","0","0"
"POINT (8.508840158000055 51.976614937000079)","Unfall 27928 (2024) Kat:3, Licht: 2","27928","3","6","1","01","18","3","","2","0","1","0","0"
