WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.820916583000042 52.426859169000068)",Unfall 10131 (2017) Kat:3, Licht: 0,10131,3,6,2,01,08,6,0,0,0,1,0,0
"POINT (9.697763366000061 52.376332042000058)",Unfall 10195 (2017) Kat:3, Licht: 0,10195,3,6,2,01,16,5,0,0,0,1,0,0
"POINT (9.690503548000038 52.346812275000048)",Unfall 10196 (2017) Kat:3, Licht: 2,10196,3,6,2,01,06,5,1,2,0,1,0,0
"POINT (9.776891981000063 52.426803812000060)",Unfall 10239 (2017) Kat:3, Licht: 0,10239,3,6,2,01,11,4,0,0,0,1,0,0
"POINT (9.786470699000063 52.389335121000045)",Unfall 10240 (2017) Kat:3, Licht: 2,10240,3,6,2,01,07,4,1,2,0,1,0,0
"POINT (9.723416835000023 52.379240856000081)",Unfall 10241 (2017) Kat:3, Licht: 2,10241,3,6,2,01,18,4,0,2,0,1,0,0
"POINT (9.673999999000046 52.377241596000033)",Unfall 10242 (2017) Kat:3, Licht: 0,10242,3,2,5,01,09,4,0,0,0,1,0,0
"POINT (9.723485071000027 52.377929599000026)",Unfall 10294 (2017) Kat:3, Licht: 0,10294,3,2,5,01,10,3,0,0,1,0,0,0
"POINT (9.690727069000047 52.331711496000082)",Unfall 10324 (2017) Kat:3, Licht: 1,10324,3,6,2,01,08,2,1,1,0,1,0,0
"POINT (9.839557529000047 52.410164170000030)",Unfall 10325 (2017) Kat:3, Licht: 2,10325,3,1,8,01,17,2,0,2,0,1,0,0
"POINT (9.626360764000026 52.408221411000056)",Unfall 10327 (2017) Kat:3, Licht: 1,10327,3,6,0,01,07,2,1,1,1,1,0,0
"POINT (9.719450373000029 52.367443436000030)",Unfall 10340 (2017) Kat:3, Licht: 2,10340,3,1,0,01,19,6,0,2,1,0,0,0
"POINT (9.733380697000030 52.417809228000067)",Unfall 10341 (2017) Kat:3, Licht: 1,10341,3,3,5,02,07,4,1,1,1,1,0,0
"POINT (9.697133554000061 52.341653932000042)",Unfall 10369 (2017) Kat:3, Licht: 1,10369,3,2,5,02,17,3,0,1,0,1,0,0
"POINT (9.714983892000021 52.398346521000065)",Unfall 10370 (2017) Kat:3, Licht: 2,10370,3,4,6,02,17,3,0,2,0,0,1,1
"POINT (9.738023695000038 52.368175961000077)",Unfall 10417 (2017) Kat:3, Licht: 0,10417,3,6,2,02,16,4,1,0,0,1,0,0
"POINT (9.783654027000068 52.359891546000028)",Unfall 10435 (2017) Kat:2, Licht: 0,10435,2,1,8,02,13,1,1,0,0,1,0,0
"POINT (9.699094258000059 52.347780898000053)",Unfall 10436 (2017) Kat:3, Licht: 2,10436,3,1,9,02,04,1,0,2,0,1,0,0
"POINT (9.701363890000039 52.415343544000052)",Unfall 10474 (2017) Kat:3, Licht: 0,10474,3,3,5,02,11,7,0,0,0,1,0,0
"POINT (9.784145658000057 52.359218442000042)",Unfall 10475 (2017) Kat:3, Licht: 0,10475,3,6,2,02,10,7,1,0,0,1,0,0
"POINT (9.782919846000027 52.323816645000079)",Unfall 10515 (2017) Kat:3, Licht: 0,10515,3,4,6,02,16,6,1,0,0,0,1,0
"POINT (9.734084353000071 52.386039215000039)",Unfall 10517 (2017) Kat:3, Licht: 0,10517,3,6,2,02,13,6,1,0,0,1,0,0
"POINT (9.786639587000025 52.389692502000059)",Unfall 10519 (2017) Kat:3, Licht: 0,10519,3,6,2,02,10,6,0,0,0,1,0,0
"POINT (9.725105244000076 52.377014092000081)",Unfall 10566 (2017) Kat:3, Licht: 2,10566,3,1,8,02,02,5,0,2,0,1,0,0
"POINT (9.700170565000065 52.372264893000079)",Unfall 10606 (2017) Kat:3, Licht: 2,10606,3,6,2,02,07,4,0,2,0,1,0,0
"POINT (9.722523273000036 52.362510637000071)",Unfall 10613 (2017) Kat:2, Licht: 0,10613,2,3,5,02,10,4,0,0,1,1,0,0
"POINT (9.832717577000040 52.421885307000082)",Unfall 10615 (2017) Kat:3, Licht: 0,10615,3,6,3,02,07,4,1,0,0,1,0,0
"POINT (9.641375652000022 52.414283846000046)",Unfall 10655 (2017) Kat:3, Licht: 2,10655,3,2,5,01,21,3,0,2,0,1,0,0
"POINT (9.643991207000056 52.414349207000043)",Unfall 10700 (2017) Kat:1, Licht: 2,10700,1,1,8,01,00,2,1,2,0,1,0,0
"POINT (9.775217193000060 52.330262268000070)",Unfall 10738 (2017) Kat:3, Licht: 2,10738,3,1,0,02,18,6,1,2,0,0,0,1
"POINT (9.793340012000044 52.393673146000026)",Unfall 10739 (2017) Kat:3, Licht: 0,10739,3,2,3,02,13,6,0,0,0,1,0,0
"POINT (9.667346324000050 52.377070328000059)",Unfall 10744 (2017) Kat:2, Licht: 1,10744,2,3,5,02,17,6,1,1,1,0,0,0
"POINT (9.719198592000055 52.421494118000055)",Unfall 10746 (2017) Kat:3, Licht: 0,10746,3,2,2,02,12,6,1,0,0,1,0,0
"POINT (9.644290382000065 52.423203386000068)",Unfall 10747 (2017) Kat:3, Licht: 0,10747,3,6,2,02,13,6,1,0,0,1,0,0
"POINT (9.734063623000054 52.387412842000060)",Unfall 10803 (2017) Kat:3, Licht: 2,10803,3,2,6,02,18,5,0,2,0,1,1,0
"POINT (9.762967379000031 52.427109500000029)",Unfall 10805 (2017) Kat:3, Licht: 0,10805,3,6,2,02,14,5,0,0,0,1,0,0
"POINT (9.733585306000066 52.369164073000036)",Unfall 10845 (2017) Kat:3, Licht: 2,10845,3,3,5,02,20,4,0,2,1,1,0,0
"POINT (9.670889227000032 52.382646277000049)",Unfall 10846 (2017) Kat:2, Licht: 0,10846,2,2,6,02,14,4,0,0,0,1,1,0
"POINT (9.638311775000034 52.416255606000050)",Unfall 10896 (2017) Kat:3, Licht: 0,10896,3,6,2,02,14,3,0,0,0,1,0,0
"POINT (9.844537202000026 52.414554666000072)",Unfall 10905 (2017) Kat:2, Licht: 0,10905,2,6,2,02,10,3,0,0,0,0,0,0
"POINT (9.734684028000061 52.410760936000031)",Unfall 10944 (2017) Kat:3, Licht: 0,10944,3,6,2,02,10,2,0,0,0,1,0,0
"POINT (9.752650460000041 52.427353068000059)",Unfall 10949 (2017) Kat:3, Licht: 2,10949,3,6,2,02,06,2,0,2,0,1,0,0
"POINT (9.699674741000024 52.416457104000074)",Unfall 10993 (2017) Kat:3, Licht: 0,10993,3,6,2,02,15,1,0,0,0,1,0,0
"POINT (9.733287157000063 52.384312613000077)",Unfall 10994 (2017) Kat:3, Licht: 0,10994,3,1,9,02,08,1,0,0,0,1,0,0
"POINT (9.693554829000050 52.420238777000066)",Unfall 11010 (2017) Kat:3, Licht: 0,11010,3,5,1,02,12,3,0,0,1,0,0,0
"POINT (9.801969051000071 52.432762464000064)",Unfall 11018 (2017) Kat:3, Licht: 0,11018,3,3,5,02,16,3,0,0,1,1,0,0
"POINT (9.708264430000043 52.420841525000071)",Unfall 11023 (2017) Kat:3, Licht: 0,11023,3,6,2,02,14,7,0,0,0,1,0,0
"POINT (9.777766112000052 52.372695505000081)",Unfall 11028 (2017) Kat:2, Licht: 0,11028,2,6,2,02,16,7,0,0,0,1,0,0
"POINT (9.640081290000069 52.415384121000045)",Unfall 11081 (2017) Kat:3, Licht: 2,11081,3,6,9,02,22,6,0,2,0,1,0,0
"POINT (9.740280673000029 52.368261244000053)",Unfall 11094 (2017) Kat:3, Licht: 0,11094,3,2,4,02,16,2,0,0,1,1,0,0
"POINT (9.765491793000024 52.341581558000030)",Unfall 11098 (2017) Kat:3, Licht: 0,11098,3,2,5,02,07,2,1,0,1,1,0,0
"POINT (9.797107133000054 52.347211196000046)",Unfall 11104 (2017) Kat:3, Licht: 0,11104,3,6,2,02,12,2,1,0,0,1,0,0
"POINT (9.722529625000050 52.358339183000055)",Unfall 11105 (2017) Kat:3, Licht: 0,11105,3,4,6,02,07,2,0,0,0,0,1,0
"POINT (9.790865205000046 52.430240664000053)",Unfall 11106 (2017) Kat:3, Licht: 2,11106,3,6,2,02,06,2,0,2,0,0,0,0
"POINT (9.756311685000071 52.370161001000042)",Unfall 11149 (2017) Kat:3, Licht: 0,11149,3,6,2,02,12,5,0,0,0,1,0,0
"POINT (9.644207946000051 52.414314024000078)",Unfall 11169 (2017) Kat:2, Licht: 2,11169,2,1,8,02,02,1,0,2,0,1,0,0
"POINT (9.771781567000062 52.342958313000054)",Unfall 11173 (2017) Kat:3, Licht: 2,11173,3,6,2,02,18,7,0,2,0,1,0,0
"POINT (9.652017902000068 52.415458281000042)",Unfall 11175 (2017) Kat:2, Licht: 2,11175,2,3,5,02,23,7,0,2,0,0,0,0
"POINT (9.635056013000053 52.418122752000045)",Unfall 11199 (2017) Kat:3, Licht: 0,11199,3,6,2,03,11,4,1,0,0,1,0,0
"POINT (9.770711893000055 52.342804795000063)",Unfall 11284 (2017) Kat:3, Licht: 2,11284,3,6,3,02,18,2,0,2,0,1,0,0
"POINT (9.770177052000065 52.336134872000059)",Unfall 11350 (2017) Kat:3, Licht: 0,11350,3,7,6,02,14,7,1,0,0,1,1,0
"POINT (9.734035533000053 52.387145257000043)",Unfall 11422 (2017) Kat:3, Licht: 2,11422,3,3,5,02,23,6,0,2,1,0,0,0
"POINT (9.809930541000028 52.333944930000030)",Unfall 11423 (2017) Kat:3, Licht: 0,11423,3,6,2,02,18,6,1,0,0,1,0,0
"POINT (9.706579443000067 52.419240264000052)",Unfall 11424 (2017) Kat:3, Licht: 0,11424,3,6,2,02,14,6,0,0,0,1,0,0
"POINT (9.723025236000069 52.358047566000039)",Unfall 11425 (2017) Kat:3, Licht: 0,11425,3,6,2,03,11,7,0,0,0,1,0,0
"POINT (9.733898481000040 52.413618207000070)",Unfall 11437 (2017) Kat:3, Licht: 2,11437,3,3,5,02,05,6,1,2,1,1,0,0
"POINT (9.638179912000055 52.416336352000030)",Unfall 11550 (2017) Kat:3, Licht: 1,11550,3,6,2,02,06,5,1,1,0,1,0,0
"POINT (9.858262137000054 52.387389251000059)",Unfall 11559 (2017) Kat:3, Licht: 0,11559,3,3,5,03,13,6,0,0,1,1,0,0
"POINT (9.827064826000026 52.342897666000056)",Unfall 11560 (2017) Kat:2, Licht: 0,11560,2,3,5,03,08,6,0,0,1,1,0,0
"POINT (9.632320748000041 52.411291540000036)",Unfall 11561 (2017) Kat:3, Licht: 0,11561,3,3,5,03,07,6,1,0,0,1,0,0
"POINT (9.696791663000056 52.380034331000047)",Unfall 11639 (2017) Kat:3, Licht: 0,11639,3,6,2,03,10,5,1,0,0,1,0,0
"POINT (9.696431151000070 52.379959374000066)",Unfall 11640 (2017) Kat:3, Licht: 2,11640,3,6,2,03,20,5,1,2,0,1,0,0
"POINT (9.712366898000028 52.403924367000059)",Unfall 11646 (2017) Kat:3, Licht: 2,11646,3,7,0,03,19,5,1,2,1,0,0,0
"POINT (9.664191555000059 52.384365363000029)",Unfall 11647 (2017) Kat:3, Licht: 0,11647,3,4,6,02,16,4,1,0,0,1,1,0
"POINT (9.750006013000075 52.360782485000072)",Unfall 11648 (2017) Kat:3, Licht: 2,11648,3,6,3,02,22,4,1,2,0,1,0,0
"POINT (9.762921942000048 52.344655373000080)",Unfall 11650 (2017) Kat:3, Licht: 0,11650,3,4,6,02,15,4,1,0,0,1,1,0
"POINT (9.781724913000062 52.424856977000047)",Unfall 11659 (2017) Kat:3, Licht: 2,11659,3,2,5,03,05,5,1,2,0,1,0,0
"POINT (9.720548255000040 52.338513097000032)",Unfall 11735 (2017) Kat:3, Licht: 0,11735,3,6,2,03,14,2,0,0,0,1,0,0
"POINT (9.697142414000041 52.374974899000051)",Unfall 11736 (2017) Kat:3, Licht: 0,11736,3,3,5,03,13,2,0,0,1,1,0,0
"POINT (9.708343299000035 52.422491954000066)",Unfall 11737 (2017) Kat:3, Licht: 0,11737,3,6,2,03,13,2,0,0,0,1,0,0
"POINT (9.733541453000044 52.384372341000073)",Unfall 11738 (2017) Kat:3, Licht: 0,11738,3,6,2,03,16,2,0,0,0,1,0,0
"POINT (9.794162594000056 52.350654259000066)",Unfall 11739 (2017) Kat:3, Licht: 0,11739,3,6,2,03,08,2,0,0,0,1,0,0
"POINT (9.732923923000044 52.423603456000080)",Unfall 11741 (2017) Kat:3, Licht: 0,11741,3,3,5,03,13,2,0,0,1,1,0,0
"POINT (9.664816578000057 52.384320276000039)",Unfall 11742 (2017) Kat:2, Licht: 0,11742,2,7,6,03,10,2,0,0,0,0,1,0
"POINT (9.815115943000023 52.402357766000080)",Unfall 11743 (2017) Kat:3, Licht: 0,11743,3,6,3,03,10,2,0,0,0,1,0,0
"POINT (9.731629457000054 52.369514632000062)",Unfall 11779 (2017) Kat:3, Licht: 1,11779,3,6,2,03,17,1,0,1,0,1,0,0
"POINT (9.700788396000064 52.371285825000029)",Unfall 11833 (2017) Kat:3, Licht: 0,11833,3,3,0,03,16,7,0,0,0,1,0,0
"POINT (9.798576488000037 52.431162185000062)",Unfall 11840 (2017) Kat:3, Licht: 2,11840,3,7,9,03,00,7,0,2,0,1,0,0
"POINT (9.697291947000053 52.341552372000081)",Unfall 11841 (2017) Kat:3, Licht: 0,11841,3,2,2,03,07,2,1,0,0,1,0,0
"POINT (9.827213297000071 52.345680581000067)",Unfall 11848 (2017) Kat:3, Licht: 1,11848,3,6,4,03,06,2,1,1,0,1,0,0
"POINT (9.690577829000063 52.377006441000049)",Unfall 11853 (2017) Kat:3, Licht: 0,11853,3,2,5,03,12,2,1,0,0,1,0,0
"POINT (9.734781680000026 52.407310468000048)",Unfall 11854 (2017) Kat:3, Licht: 0,11854,3,3,5,03,13,2,1,0,0,1,0,0
"POINT (9.685814619000041 52.374888847000079)",Unfall 11910 (2017) Kat:3, Licht: 2,11910,3,6,8,03,20,1,1,2,0,1,0,0
"POINT (9.789706194000075 52.354636890000052)",Unfall 11912 (2017) Kat:3, Licht: 0,11912,3,1,9,03,10,1,1,0,0,1,0,0
"POINT (9.830588975000069 52.417620226000054)",Unfall 11964 (2017) Kat:3, Licht: 0,11964,3,3,5,03,16,7,0,0,1,1,0,0
"POINT (9.720670719000054 52.337769728000069)",Unfall 12012 (2017) Kat:3, Licht: 2,12012,3,1,9,03,23,5,1,2,0,1,0,0
"POINT (9.763626888000033 52.343962694000027)",Unfall 12013 (2017) Kat:3, Licht: 2,12013,3,3,5,03,20,5,0,2,1,1,0,0
"POINT (9.718990264000070 52.393080655000063)",Unfall 12017 (2017) Kat:3, Licht: 0,12017,3,1,0,03,13,5,1,0,1,0,0,0
"POINT (9.715936352000028 52.359038029000033)",Unfall 12029 (2017) Kat:3, Licht: 0,12029,3,4,6,03,10,6,1,0,0,1,1,0
"POINT (9.733707717000073 52.385326949000046)",Unfall 12044 (2017) Kat:3, Licht: 0,12044,3,6,2,03,16,6,0,0,0,1,0,0
"POINT (9.735430338000072 52.393865519000030)",Unfall 12046 (2017) Kat:3, Licht: 2,12046,3,6,2,03,19,6,0,2,0,1,0,0
