WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.030481253000062 51.452056785000082)",Unfall 96873 (2019) Kat:3, Licht: 0,96873,3,6,2,01,12,7,1,0,0,1,0,0,0,0
"POINT (7.044615403000023 51.469694605000029)",Unfall 96887 (2019) Kat:3, Licht: 0,96887,3,2,6,01,14,4,0,0,0,1,1,0,0,0
"POINT (7.012677041000075 51.531533020000040)",Unfall 96962 (2019) Kat:2, Licht: 0,96962,2,3,5,01,10,2,1,0,1,1,0,0,0,0
"POINT (7.063750589000051 51.484723228000064)",Unfall 96963 (2019) Kat:3, Licht: 0,96963,3,5,1,01,13,2,1,0,0,1,0,0,0,1
"POINT (7.044719606000058 51.436740882000038)",Unfall 96964 (2019) Kat:3, Licht: 2,96964,3,2,6,01,07,2,1,2,0,1,1,0,0,0
"POINT (7.084147852000058 51.470607167000026)",Unfall 96966 (2019) Kat:3, Licht: 2,96966,3,2,4,01,05,2,1,2,0,1,0,0,0,0
"POINT (7.083162257000026 51.445768957000041)",Unfall 96967 (2019) Kat:3, Licht: 2,96967,3,6,1,01,07,2,1,2,0,1,0,0,0,0
"POINT (7.050550391000058 51.490380640000069)",Unfall 97111 (2019) Kat:2, Licht: 2,97111,2,4,6,01,16,7,1,2,0,1,1,0,0,0
"POINT (7.009586976000037 51.491943954000078)",Unfall 97112 (2019) Kat:3, Licht: 0,97112,3,6,2,01,16,7,1,0,0,1,0,0,0,0
"POINT (6.960696639000048 51.448234849000073)",Unfall 97113 (2019) Kat:2, Licht: 2,97113,2,4,6,01,17,7,1,2,0,1,1,0,0,0
"POINT (7.009088791000067 51.489923394000073)",Unfall 97228 (2019) Kat:3, Licht: 2,97228,3,2,6,01,07,5,1,2,0,1,1,0,0,0
"POINT (6.966378035000048 51.473928415000046)",Unfall 97229 (2019) Kat:3, Licht: 0,97229,3,5,1,01,11,5,1,0,0,1,0,0,0,0
"POINT (6.961370028000033 51.470793749000052)",Unfall 97230 (2019) Kat:3, Licht: 2,97230,3,2,6,01,20,5,0,2,0,0,1,0,0,1
"POINT (6.993027711000025 51.413179022000065)",Unfall 97231 (2019) Kat:2, Licht: 2,97231,2,2,6,01,18,5,1,2,0,1,1,0,0,0
"POINT (6.975535452000031 51.442237557000055)",Unfall 97232 (2019) Kat:2, Licht: 1,97232,2,4,6,01,07,5,0,1,0,1,1,0,0,0
"POINT (7.062135253000065 51.446204153000053)",Unfall 97233 (2019) Kat:3, Licht: 0,97233,3,2,4,01,14,5,1,0,0,1,0,1,0,0
"POINT (7.001821630000052 51.481393988000036)",Unfall 97319 (2019) Kat:3, Licht: 0,97319,3,6,2,01,12,4,0,0,0,1,0,0,0,0
"POINT (7.041722967000055 51.437866069000052)",Unfall 97320 (2019) Kat:3, Licht: 0,97320,3,2,6,01,09,4,0,0,0,1,1,0,0,0
"POINT (6.920737589000055 51.470722436000074)",Unfall 97440 (2019) Kat:2, Licht: 0,97440,2,2,6,01,08,3,1,0,0,1,1,0,0,0
"POINT (7.000132343000075 51.387296303000028)",Unfall 97441 (2019) Kat:2, Licht: 0,97441,2,4,6,01,10,3,0,0,0,1,1,0,0,0
"POINT (6.963973821000025 51.475746259000061)",Unfall 97537 (2019) Kat:3, Licht: 1,97537,3,2,5,01,17,2,0,1,0,1,0,0,0,0
"POINT (6.989236727000048 51.445387629000038)",Unfall 97611 (2019) Kat:2, Licht: 0,97611,2,1,8,01,08,1,2,0,0,1,0,0,0,0
"POINT (7.001146091000067 51.464990361000048)",Unfall 97646 (2019) Kat:3, Licht: 0,97646,3,5,2,01,12,7,0,0,0,1,0,0,0,0
"POINT (6.966761496000061 51.473550765000027)",Unfall 97731 (2019) Kat:3, Licht: 0,97731,3,4,6,01,12,3,0,0,0,1,1,0,0,0
"POINT (6.980201041000044 51.460669380000070)",Unfall 97733 (2019) Kat:3, Licht: 2,97733,3,4,6,01,17,3,1,2,0,1,1,0,0,0
"POINT (6.964779447000069 51.434196894000081)",Unfall 97736 (2019) Kat:3, Licht: 2,97736,3,1,8,01,23,3,2,2,0,1,0,0,0,0
"POINT (6.964955658000065 51.434907668000051)",Unfall 97738 (2019) Kat:3, Licht: 1,97738,3,3,5,01,07,3,0,1,0,1,0,0,0,0
"POINT (7.035798880000073 51.423973301000046)",Unfall 97741 (2019) Kat:3, Licht: 2,97741,3,3,5,01,18,3,1,2,1,1,0,0,0,0
"POINT (7.017468053000073 51.423200826000027)",Unfall 97744 (2019) Kat:3, Licht: 1,97744,3,7,5,01,16,3,2,1,0,1,0,0,0,0
"POINT (7.034924019000073 51.444493888000068)",Unfall 97745 (2019) Kat:3, Licht: 2,97745,3,2,6,01,06,3,1,2,0,1,1,0,0,0
"POINT (7.003045063000059 51.447449482000081)",Unfall 97749 (2019) Kat:3, Licht: 0,97749,3,2,2,01,08,3,0,0,1,1,0,0,0,0
"POINT (6.956872647000068 51.417387030000043)",Unfall 97767 (2019) Kat:3, Licht: 0,97767,3,6,2,01,15,6,1,0,0,1,0,0,0,0
"POINT (6.990012576000027 51.436387463000074)",Unfall 97770 (2019) Kat:3, Licht: 0,97770,3,6,2,01,15,6,0,0,0,1,0,0,0,0
"POINT (7.075725659000057 51.450005880000049)",Unfall 97771 (2019) Kat:3, Licht: 0,97771,3,7,6,01,14,6,0,0,0,0,1,0,0,1
