WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.217188206000060 51.485379334000072)",Unfall 98709 (2019) Kat:3, Licht: 0,98709,3,6,2,02,09,2,0,0,0,1,0,0,0,0
"POINT (7.300536906000048 51.496500706000063)",Unfall 98798 (2019) Kat:3, Licht: 2,98798,3,1,9,02,19,1,0,2,0,1,0,0,0,0
"POINT (7.143548135000060 51.427216623000049)",Unfall 98886 (2019) Kat:3, Licht: 2,98886,3,1,0,02,06,4,0,2,1,0,0,0,0,0
"POINT (7.254311795000035 51.472258838000073)",Unfall 98887 (2019) Kat:3, Licht: 0,98887,3,2,6,02,14,4,0,0,0,1,1,0,0,0
"POINT (7.210493972000052 51.512435430000039)",Unfall 98903 (2019) Kat:3, Licht: 2,98903,3,2,6,02,19,7,1,2,0,1,1,0,0,0
"POINT (7.224025190000020 51.476118931000030)",Unfall 99065 (2019) Kat:3, Licht: 0,99065,3,6,2,02,13,3,0,0,0,1,0,0,0,0
"POINT (7.166021595000075 51.486371621000046)",Unfall 99078 (2019) Kat:3, Licht: 0,99078,3,6,2,02,14,6,0,0,0,1,0,0,0,0
"POINT (7.142539244000034 51.481705818000080)",Unfall 99100 (2019) Kat:3, Licht: 0,99100,3,2,5,02,12,1,1,0,0,1,0,0,0,0
"POINT (7.239144193000072 51.490118355000050)",Unfall 99101 (2019) Kat:3, Licht: 2,99101,3,4,6,02,18,1,1,2,0,1,1,0,0,0
"POINT (7.145220522000045 51.460996687000033)",Unfall 99223 (2019) Kat:3, Licht: 2,99223,3,3,5,02,19,7,1,2,0,1,0,0,0,0
"POINT (7.195372586000076 51.492279690000032)",Unfall 99226 (2019) Kat:3, Licht: 2,99226,3,6,2,02,18,7,0,2,0,1,0,0,0,0
"POINT (7.185136729000021 51.491110935000052)",Unfall 99238 (2019) Kat:3, Licht: 0,99238,3,6,1,02,12,7,0,0,0,1,0,0,0,0
