WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.640052443000059 52.294786663000082)",Unfall 19866 (2017) Kat:3,19866,3,6,2,08,11,5,0,,0,1,0,1
"POINT (10.054601942000033 52.448723480000069)",Unfall 19867 (2017) Kat:3,19867,3,3,5,08,07,5,1,,0,1,0,0
"POINT (9.624556528000028 52.279145631000063)",Unfall 19868 (2017) Kat:2,19868,2,1,8,08,21,5,0,,0,0,0,1
"POINT (9.836272193000070 52.387160373000029)",Unfall 19869 (2017) Kat:2,19869,2,2,5,08,16,5,0,,1,0,0,0
"POINT (9.818251070000031 52.409232271000064)",Unfall 19870 (2017) Kat:3,19870,3,4,6,08,15,5,0,,1,0,1,0
"POINT (9.710292860000038 52.407129050000037)",Unfall 19871 (2017) Kat:2,19871,2,4,6,08,12,5,0,,0,0,1,0
"POINT (9.725099000000057 52.377017857000055)",Unfall 19872 (2017) Kat:3,19872,3,2,5,08,09,5,0,,1,1,0,0
"POINT (9.399480673000028 52.536443374000044)",Unfall 19928 (2017) Kat:3,19928,3,2,5,08,15,1,1,,0,1,0,0
"POINT (9.847752033000063 52.392722541000069)",Unfall 19932 (2017) Kat:3,19932,3,3,0,08,12,4,0,,0,1,0,0
"POINT (9.431486672000062 52.422747566000055)",Unfall 19933 (2017) Kat:3,19933,3,6,6,08,17,4,0,,1,0,1,0
"POINT (9.357246670000052 52.453350305000072)",Unfall 19934 (2017) Kat:3,19934,3,3,5,08,10,4,0,,0,1,0,0
"POINT (9.603334371000074 52.393855340000073)",Unfall 19935 (2017) Kat:3,19935,3,3,0,08,19,4,0,,1,0,0,0
"POINT (9.741863701000057 52.459987404000060)",Unfall 19936 (2017) Kat:3,19936,3,2,3,08,10,4,0,,1,1,0,0
"POINT (9.735823251000056 52.401842519000070)",Unfall 19937 (2017) Kat:3,19937,3,6,2,08,12,4,0,,0,1,0,0
"POINT (9.773540448000063 52.577782017000061)",Unfall 19938 (2017) Kat:3,19938,3,6,2,08,11,4,0,,0,1,0,0
"POINT (9.564772310000024 52.323116872000071)",Unfall 19998 (2017) Kat:3,19998,3,6,2,08,15,3,0,,0,1,0,0
"POINT (9.758705937000059 52.427060896000057)",Unfall 19999 (2017) Kat:3,19999,3,6,2,08,18,3,0,,0,0,0,0
"POINT (9.793463401000054 52.371520768000039)",Unfall 20000 (2017) Kat:3,20000,3,7,0,08,14,3,0,,0,1,0,1
"POINT (9.839120461000050 52.417940304000069)",Unfall 20001 (2017) Kat:3,20001,3,6,2,08,15,3,0,,0,1,0,0
"POINT (9.793417260000069 52.415328259000034)",Unfall 20002 (2017) Kat:3,20002,3,2,5,08,12,3,0,,1,1,0,0
"POINT (9.686743248000028 52.429757795000057)",Unfall 20003 (2017) Kat:3,20003,3,6,2,08,08,3,0,,0,1,0,0
"POINT (9.690897069000073 52.421984393000059)",Unfall 20004 (2017) Kat:3,20004,3,2,5,08,06,3,0,,0,1,0,1
"POINT (9.883229612000037 52.299246746000051)",Unfall 20013 (2017) Kat:3,20013,3,6,3,08,07,3,0,,0,1,0,0
"POINT (9.471892120000064 52.504103566000026)",Unfall 20031 (2017) Kat:3,20031,3,1,0,08,17,1,0,,1,0,0,0
"POINT (9.294300344000021 52.490926882000053)",Unfall 20036 (2017) Kat:3,20036,3,3,5,08,15,5,0,,0,1,0,0
"POINT (9.763376053000059 52.547108325000067)",Unfall 20037 (2017) Kat:3,20037,3,7,0,08,12,5,0,,0,1,0,0
"POINT (9.963673527000026 52.313969868000072)",Unfall 20038 (2017) Kat:3,20038,3,3,5,08,16,5,0,,1,1,0,0
"POINT (9.997668045000069 52.452432768000051)",Unfall 20039 (2017) Kat:3,20039,3,3,5,08,13,5,0,,1,1,0,0
"POINT (10.009450544000060 52.486311321000073)",Unfall 20040 (2017) Kat:3,20040,3,3,5,08,13,5,0,,0,1,0,1
"POINT (9.441998068000032 52.366223308000031)",Unfall 20041 (2017) Kat:3,20041,3,6,2,08,14,5,0,,0,0,0,0
"POINT (9.714516595000021 52.361076788000048)",Unfall 20042 (2017) Kat:3,20042,3,2,5,08,11,5,1,,0,1,0,0
"POINT (9.827188268000043 52.349404186000072)",Unfall 20043 (2017) Kat:2,20043,2,3,5,08,11,5,1,,1,1,0,0
"POINT (9.793231422000076 52.415342648000035)",Unfall 20044 (2017) Kat:3,20044,3,2,5,08,07,5,0,,1,1,0,0
"POINT (9.762901311000064 52.344677660000059)",Unfall 20095 (2017) Kat:3,20095,3,1,0,08,15,4,0,,1,0,0,0
"POINT (9.475751181000021 52.297865630000047)",Unfall 20096 (2017) Kat:3,20096,3,2,5,08,12,4,0,,1,1,0,0
"POINT (9.620374981000055 52.439748905000044)",Unfall 20097 (2017) Kat:3,20097,3,2,5,08,18,4,0,,0,1,0,0
