WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.664369877000070 52.171031603000074)",Unfall 58945 (2020) Kat:3, Licht: 1,58945,3,7,6,01,17,1,0,1,0,1,1,0
"POINT (9.626204400000063 52.329300764000038)",Unfall 58946 (2020) Kat:3, Licht: 0,58946,3,1,9,01,11,1,1,0,0,1,0,0
"POINT (9.908779313000025 52.396228667000059)",Unfall 58947 (2020) Kat:3, Licht: 2,58947,3,6,8,01,21,1,0,2,0,1,0,0
"POINT (9.593493331000047 52.423461879000058)",Unfall 58948 (2020) Kat:3, Licht: 0,58948,3,6,2,01,14,1,0,0,0,1,0,0
"POINT (9.753767690000075 52.288173415000074)",Unfall 58949 (2020) Kat:2, Licht: 2,58949,2,1,9,01,02,1,1,2,0,1,0,0
"POINT (9.412738292000029 52.332952201000069)",Unfall 58979 (2020) Kat:3, Licht: 0,58979,3,6,2,01,11,7,1,0,0,1,0,0
"POINT (9.722285210000052 52.378315883000027)",Unfall 59019 (2020) Kat:3, Licht: 0,59019,3,2,3,01,12,6,1,0,0,1,0,0
"POINT (9.427987030000054 52.562787279000077)",Unfall 59020 (2020) Kat:3, Licht: 0,59020,3,6,9,01,08,6,1,0,0,1,0,0
"POINT (9.995817589000069 52.455206476000058)",Unfall 59021 (2020) Kat:3, Licht: 0,59021,3,3,5,01,11,6,1,0,0,1,0,0
"POINT (9.786769365000055 52.389908351000031)",Unfall 59022 (2020) Kat:3, Licht: 2,59022,3,6,2,01,18,6,1,2,0,1,0,0
"POINT (9.768711431000043 52.338185677000070)",Unfall 59023 (2020) Kat:3, Licht: 2,59023,3,2,6,01,17,6,1,2,0,1,1,0
"POINT (9.732946786000071 52.421038550000048)",Unfall 59024 (2020) Kat:3, Licht: 2,59024,3,6,2,01,06,6,0,2,0,1,0,0
"POINT (9.606127108000067 52.314027493000026)",Unfall 59052 (2020) Kat:3, Licht: 0,59052,3,6,2,01,12,5,0,0,0,1,0,0
