WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.172802314000023 51.243484718000047)",Unfall 98235 (2019) Kat:3, Licht: 2,98235,3,1,2,01,18,4,2,2,0,1,0,0,0,0
"POINT (7.170911222000029 51.243126345000064)",Unfall 98236 (2019) Kat:3, Licht: 2,98236,3,6,1,01,18,4,2,2,0,1,0,0,0,0
"POINT (7.161746623000056 51.249024439000038)",Unfall 98237 (2019) Kat:3, Licht: 0,98237,3,6,2,01,16,4,2,0,0,1,0,0,0,0
"POINT (7.151564108000059 51.224943072000030)",Unfall 98337 (2019) Kat:3, Licht: 1,98337,3,6,3,01,16,3,0,1,0,1,0,0,0,1
"POINT (7.159631377000039 51.277697548000049)",Unfall 98340 (2019) Kat:3, Licht: 0,98340,3,4,6,01,13,3,0,0,0,1,1,0,0,0
"POINT (7.235502661000055 51.238512690000050)",Unfall 98507 (2019) Kat:3, Licht: 2,98507,3,3,5,01,17,2,1,2,0,1,0,0,0,0
"POINT (7.197024674000033 51.269787633000078)",Unfall 98508 (2019) Kat:3, Licht: 0,98508,3,6,2,01,16,2,1,0,0,1,0,0,0,0
"POINT (7.217888269000071 51.275090461000048)",Unfall 98509 (2019) Kat:2, Licht: 2,98509,2,4,6,01,05,2,1,2,0,1,1,0,0,0
"POINT (7.180806501000063 51.275433213000042)",Unfall 98510 (2019) Kat:3, Licht: 0,98510,3,7,6,01,16,2,1,0,0,1,1,0,0,0
"POINT (7.150554106000072 51.274070680000079)",Unfall 98511 (2019) Kat:3, Licht: 0,98511,3,7,1,01,16,2,1,0,0,0,0,0,0,1
"POINT (7.123509069000022 51.263254958000061)",Unfall 98614 (2019) Kat:3, Licht: 1,98614,3,6,1,02,07,3,1,1,0,1,0,0,0,0
"POINT (7.224072972000045 51.275314725000044)",Unfall 98659 (2019) Kat:3, Licht: 1,98659,3,4,6,02,08,2,0,1,0,1,1,0,0,0
"POINT (7.206506604000026 51.216009836000069)",Unfall 98863 (2019) Kat:3, Licht: 0,98863,3,7,1,02,10,7,1,0,0,1,0,0,0,0
"POINT (7.132474349000063 51.262286208000035)",Unfall 99007 (2019) Kat:3, Licht: 1,99007,3,6,1,02,07,6,1,1,0,1,0,0,0,0
"POINT (7.228273562000027 51.273472438000056)",Unfall 99014 (2019) Kat:3, Licht: 0,99014,3,4,6,02,14,3,0,0,0,1,1,0,0,0
"POINT (7.232785156000034 51.258403549000036)",Unfall 99085 (2019) Kat:3, Licht: 2,99085,3,3,5,02,18,1,1,2,0,1,0,0,0,0
"POINT (7.200701183000035 51.269516952000060)",Unfall 99166 (2019) Kat:3, Licht: 0,99166,3,7,0,02,15,7,1,0,0,1,0,0,0,0
"POINT (7.227992746000041 51.270525049000071)",Unfall 99283 (2019) Kat:3, Licht: 1,99283,3,6,1,02,17,3,0,1,0,1,0,0,0,0
"POINT (7.205404590000057 51.271624752000037)",Unfall 99285 (2019) Kat:3, Licht: 0,99285,3,7,4,02,11,3,0,0,0,1,0,0,0,0
"POINT (7.069029312000055 51.230631778000031)",Unfall 99286 (2019) Kat:3, Licht: 0,99286,3,4,6,02,16,3,0,0,0,1,1,0,0,0
"POINT (7.144269973000064 51.283021805000033)",Unfall 99524 (2019) Kat:3, Licht: 0,99524,3,5,3,02,14,5,0,0,0,1,0,1,0,0
"POINT (7.184491314000070 51.291021073000081)",Unfall 99644 (2019) Kat:2, Licht: 0,99644,2,4,6,02,12,6,0,0,0,1,1,0,0,0
"POINT (7.049184077000064 51.219522225000048)",Unfall 99646 (2019) Kat:3, Licht: 0,99646,3,2,2,02,13,6,0,0,0,1,0,0,0,0
"POINT (7.124556473000041 51.249386639000079)",Unfall 99734 (2019) Kat:2, Licht: 0,99734,2,6,3,02,16,1,0,0,0,1,0,1,0,0
"POINT (7.101422993000028 51.254465702000061)",Unfall 99736 (2019) Kat:3, Licht: 0,99736,3,5,1,02,13,1,0,0,0,1,0,0,0,0
"POINT (7.182873271000062 51.264734850000082)",Unfall 99892 (2019) Kat:3, Licht: 1,99892,3,1,0,02,17,5,0,1,0,0,0,1,0,0
"POINT (7.220139819000053 51.275210580000078)",Unfall 99939 (2019) Kat:3, Licht: 0,99939,3,6,0,02,16,7,0,0,0,1,0,0,0,1
"POINT (7.227081056000031 51.286064845000055)",Unfall 99940 (2019) Kat:2, Licht: 0,99940,2,3,5,02,16,7,0,0,1,1,0,0,0,1
"POINT (7.131362999000032 51.255816719000052)",Unfall 99943 (2019) Kat:3, Licht: 2,99943,3,6,3,02,18,7,0,2,1,1,0,0,0,0
"POINT (7.140408693000040 51.306343381000033)",Unfall 99944 (2019) Kat:2, Licht: 0,99944,2,6,4,02,14,7,0,0,0,1,0,1,0,0
"POINT (7.125017139000022 51.280025287000058)",Unfall 99948 (2019) Kat:2, Licht: 0,99948,2,1,1,02,10,7,0,0,0,1,0,1,0,0
"POINT (7.230024271000048 51.239357714000050)",Unfall 100115 (2019) Kat:3, Licht: 0,100115,3,6,2,02,16,4,0,0,0,1,0,0,0,1
"POINT (7.151154596000026 51.274450559000059)",Unfall 100192 (2019) Kat:3, Licht: 0,100192,3,6,2,02,08,2,0,0,0,1,0,0,0,0
"POINT (7.162092459000064 51.278425162000076)",Unfall 100210 (2019) Kat:3, Licht: 0,100210,3,3,5,02,10,3,0,0,1,1,0,0,0,0
