WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.136077816000068 50.743106318000059)",Unfall 98437 (2019) Kat:3, Licht: 0,98437,3,6,2,01,10,5,2,0,0,1,0,0
"POINT (7.096461038000030 50.736861991000069)",Unfall 98447 (2019) Kat:2, Licht: 2,98447,2,1,0,01,19,5,1,2,1,0,0,0
"POINT (7.078004613000076 50.748829427000032)",Unfall 98541 (2019) Kat:3, Licht: 0,98541,3,6,2,01,11,5,1,0,0,1,0,0
"POINT (7.064644384000076 50.714536980000048)",Unfall 98607 (2019) Kat:3, Licht: 1,98607,3,6,2,02,07,3,1,1,0,1,0,0
"POINT (7.104789083000071 50.767037519000041)",Unfall 98648 (2019) Kat:3, Licht: 2,98648,3,3,5,02,17,2,0,2,1,0,0,0
"POINT (7.062472456000023 50.721811898000055)",Unfall 98841 (2019) Kat:3, Licht: 1,98841,3,1,8,02,16,7,1,1,0,1,0,0
"POINT (7.127050221000047 50.710728503000041)",Unfall 98978 (2019) Kat:3, Licht: 2,98978,3,6,1,02,18,3,0,2,0,1,0,0
"POINT (7.149405464000040 50.752142245000073)",Unfall 98981 (2019) Kat:3, Licht: 2,98981,3,6,1,02,18,6,1,2,0,1,0,0
"POINT (7.138843250000036 50.742422883000074)",Unfall 98987 (2019) Kat:3, Licht: 0,98987,3,3,5,02,14,3,0,0,0,0,0,0
"POINT (7.043412862000025 50.740958216000081)",Unfall 98990 (2019) Kat:3, Licht: 1,98990,3,7,0,02,07,3,0,1,0,0,0,0
"POINT (7.065296755000077 50.700434652000069)",Unfall 99077 (2019) Kat:3, Licht: 2,99077,3,6,2,02,07,3,1,2,0,1,0,0
"POINT (7.100080689000038 50.756918698000050)",Unfall 99181 (2019) Kat:3, Licht: 0,99181,3,6,2,02,16,4,0,0,0,1,0,0
"POINT (7.083878738000067 50.751453465000054)",Unfall 99230 (2019) Kat:3, Licht: 0,99230,3,6,2,02,08,7,0,0,0,1,0,0
"POINT (7.082431604000021 50.747533536000049)",Unfall 99261 (2019) Kat:3, Licht: 0,99261,3,2,5,02,12,3,0,0,1,1,0,0
"POINT (7.092062596000062 50.717970258000037)",Unfall 99262 (2019) Kat:3, Licht: 1,99262,3,2,2,02,07,3,1,1,0,1,0,1
"POINT (7.102242637000074 50.758061132000080)",Unfall 99334 (2019) Kat:3, Licht: 0,99334,3,6,2,02,16,3,0,0,0,1,0,0
"POINT (7.088050384000042 50.736973137000064)",Unfall 99399 (2019) Kat:3, Licht: 0,99399,3,6,2,02,15,2,1,0,0,1,0,0
"POINT (7.073962034000033 50.734932527000069)",Unfall 99494 (2019) Kat:3, Licht: 0,99494,3,6,2,02,16,2,1,0,0,1,0,0
"POINT (7.152750127000047 50.685352575000081)",Unfall 99546 (2019) Kat:3, Licht: 1,99546,3,2,5,02,17,1,1,1,1,1,0,0
"POINT (7.133551000000068 50.704816522000044)",Unfall 99549 (2019) Kat:3, Licht: 2,99549,3,6,2,02,05,1,1,2,0,1,0,0
"POINT (7.100701454000046 50.738772770000026)",Unfall 99608 (2019) Kat:3, Licht: 2,99608,3,1,0,02,19,6,0,2,1,0,0,0
"POINT (7.098518754000054 50.740897737000068)",Unfall 99609 (2019) Kat:2, Licht: 0,99609,2,5,0,02,15,6,0,0,1,1,0,0
"POINT (7.144422630000065 50.694090474000063)",Unfall 100032 (2019) Kat:3, Licht: 0,100032,3,6,3,02,09,4,0,0,0,1,0,0
"POINT (7.168968028000052 50.677073137000036)",Unfall 100098 (2019) Kat:3, Licht: 2,100098,3,6,2,02,18,4,0,2,0,1,0,0
"POINT (7.096458169000073 50.736861127000054)",Unfall 100099 (2019) Kat:3, Licht: 0,100099,3,3,5,02,17,4,0,0,1,0,0,0
"POINT (7.086495970000044 50.737296080000078)",Unfall 100200 (2019) Kat:3, Licht: 2,100200,3,3,5,02,06,3,1,2,1,1,0,0
"POINT (7.077434572000072 50.742566056000044)",Unfall 100318 (2019) Kat:3, Licht: 0,100318,3,2,5,02,11,2,0,0,1,1,0,0
"POINT (7.084506255000065 50.709503765000079)",Unfall 100319 (2019) Kat:3, Licht: 0,100319,3,7,0,02,12,2,0,0,1,1,0,0
"POINT (7.152533946000062 50.685275824000030)",Unfall 100388 (2019) Kat:3, Licht: 0,100388,3,6,2,02,16,7,0,0,0,1,0,0
"POINT (7.062593048000053 50.759201293000046)",Unfall 100390 (2019) Kat:3, Licht: 0,100390,3,2,6,02,16,7,0,0,0,1,1,0
"POINT (7.177132274000030 50.672715943000071)",Unfall 100471 (2019) Kat:3, Licht: 2,100471,3,6,2,02,22,6,0,2,0,1,0,0
"POINT (7.134645596000041 50.731823259000066)",Unfall 100473 (2019) Kat:3, Licht: 0,100473,3,2,0,02,10,6,1,0,0,0,0,1
"POINT (7.127579657000069 50.764570067000079)",Unfall 100524 (2019) Kat:3, Licht: 0,100524,3,6,3,02,08,6,1,0,0,1,0,0
"POINT (7.132514939000032 50.733693294000034)",Unfall 100578 (2019) Kat:2, Licht: 2,100578,2,4,6,02,19,5,1,2,0,1,1,0
"POINT (7.066730295000070 50.710607987000060)",Unfall 100625 (2019) Kat:3, Licht: 0,100625,3,2,6,02,16,3,0,0,0,1,1,0
"POINT (7.071235482000077 50.754125406000071)",Unfall 100811 (2019) Kat:3, Licht: 0,100811,3,1,0,02,17,2,0,0,0,0,0,1
