WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.641972638000027 52.414667221000059)",Unfall 79231 (2019) Kat:3, Licht: 0,79231,3,6,2,06,14,4,0,0,0,1,0,0
"POINT (9.742416997000021 52.368080546000044)",Unfall 79232 (2019) Kat:3, Licht: 0,79232,3,6,3,06,16,4,0,0,0,1,0,0
"POINT (9.661384156000054 52.376961136000034)",Unfall 79233 (2019) Kat:3, Licht: 0,79233,3,3,5,06,17,4,0,0,1,1,0,0
"POINT (9.694943900000055 52.374534510000046)",Unfall 79234 (2019) Kat:3, Licht: 0,79234,3,7,0,06,13,4,0,0,0,0,0,1
"POINT (9.826728071000048 52.299606788000062)",Unfall 79235 (2019) Kat:3, Licht: 0,79235,3,7,0,06,08,4,0,0,0,1,0,0
"POINT (9.861861068000053 52.369424589000062)",Unfall 79236 (2019) Kat:3, Licht: 0,79236,3,6,2,06,17,4,0,0,0,1,0,1
"POINT (9.721495247000064 52.421528845000068)",Unfall 79237 (2019) Kat:3, Licht: 0,79237,3,6,2,06,07,4,0,0,0,1,0,0
"POINT (9.793294993000075 52.416314036000074)",Unfall 79238 (2019) Kat:3, Licht: 0,79238,3,3,5,06,16,4,0,0,0,1,0,0
"POINT (9.760433620000072 52.259564477000026)",Unfall 79239 (2019) Kat:3, Licht: 0,79239,3,2,5,06,17,4,0,0,1,1,0,0
"POINT (9.762252848000060 52.260923484000045)",Unfall 79240 (2019) Kat:3, Licht: 0,79240,3,7,1,06,13,4,0,0,0,1,0,1
"POINT (9.624748023000052 52.452076093000073)",Unfall 79241 (2019) Kat:3, Licht: 0,79241,3,5,1,06,07,4,0,0,1,1,0,0
"POINT (9.811386307000021 52.367129713000054)",Unfall 79242 (2019) Kat:2, Licht: 0,79242,2,2,4,06,14,4,0,0,1,1,0,0
"POINT (9.833092581000074 52.386319029000049)",Unfall 79243 (2019) Kat:3, Licht: 0,79243,3,7,6,06,11,4,0,0,0,1,1,0
"POINT (9.725478662000057 52.380433200000027)",Unfall 79244 (2019) Kat:3, Licht: 0,79244,3,6,2,06,09,4,0,0,0,1,0,0
"POINT (9.734410209000032 52.412541001000079)",Unfall 79245 (2019) Kat:3, Licht: 0,79245,3,3,5,06,07,4,0,0,1,0,0,0
"POINT (9.997536906000050 52.387559077000049)",Unfall 79246 (2019) Kat:3, Licht: 1,79246,3,5,1,06,04,4,0,1,0,0,0,0
"POINT (9.644421647000058 52.414279457000077)",Unfall 79299 (2019) Kat:3, Licht: 0,79299,3,6,2,06,17,3,0,0,0,1,0,0
"POINT (9.814881609000054 52.303887794000048)",Unfall 79300 (2019) Kat:3, Licht: 0,79300,3,7,0,06,12,3,0,0,1,0,0,0
"POINT (9.730344612000067 52.318827076000048)",Unfall 79301 (2019) Kat:3, Licht: 0,79301,3,3,5,06,15,3,0,0,1,1,0,0
"POINT (9.976931788000059 52.372706249000032)",Unfall 79302 (2019) Kat:3, Licht: 0,79302,3,6,2,06,14,3,0,0,0,1,0,0
"POINT (9.732377264000036 52.483523179000031)",Unfall 79303 (2019) Kat:3, Licht: 0,79303,3,1,0,06,18,3,0,0,1,0,0,0
"POINT (9.722325081000065 52.378298141000073)",Unfall 79304 (2019) Kat:3, Licht: 2,79304,3,3,5,06,22,3,0,2,1,1,0,0
"POINT (9.711177229000043 52.421613732000026)",Unfall 79305 (2019) Kat:3, Licht: 0,79305,3,3,5,06,11,3,0,0,0,1,0,1
"POINT (9.681270043000041 52.359699713000055)",Unfall 79306 (2019) Kat:2, Licht: 0,79306,2,3,5,06,09,3,0,0,1,0,0,0
"POINT (9.645314090000056 52.397249550000026)",Unfall 79356 (2019) Kat:3, Licht: 0,79356,3,6,2,06,13,2,0,0,0,1,0,0
"POINT (10.121108079000066 52.366837728000064)",Unfall 79357 (2019) Kat:3, Licht: 0,79357,3,6,4,06,08,2,0,0,1,0,0,0
"POINT (9.950510075000068 52.372092511000062)",Unfall 79358 (2019) Kat:3, Licht: 0,79358,3,6,2,06,08,2,0,0,0,1,0,0
"POINT (10.101716424000074 52.466662735000057)",Unfall 79359 (2019) Kat:3, Licht: 2,79359,3,7,9,06,03,2,0,2,0,1,0,0
"POINT (9.634891900000071 52.420703608000053)",Unfall 79360 (2019) Kat:3, Licht: 2,79360,3,6,2,06,22,2,0,2,0,1,0,0
"POINT (9.580707931000063 52.397141133000048)",Unfall 79361 (2019) Kat:3, Licht: 0,79361,3,7,8,06,17,2,0,0,1,1,0,0
"POINT (9.724045060000037 52.363724527000045)",Unfall 79362 (2019) Kat:3, Licht: 0,79362,3,2,5,06,16,2,0,0,1,1,0,0
"POINT (9.855263807000029 52.408735907000050)",Unfall 79363 (2019) Kat:3, Licht: 0,79363,3,3,0,06,13,2,0,0,0,1,0,0
"POINT (9.697773122000058 52.377114721000055)",Unfall 79419 (2019) Kat:3, Licht: 0,79419,3,6,2,06,18,1,0,0,0,1,0,0
"POINT (9.811290709000048 52.367229269000063)",Unfall 79420 (2019) Kat:3, Licht: 0,79420,3,2,4,06,16,1,0,0,1,1,0,0
"POINT (10.017170506000070 52.383135351000078)",Unfall 79421 (2019) Kat:3, Licht: 0,79421,3,6,9,06,18,1,0,0,0,1,0,0
"POINT (9.304508528000042 52.493851189000054)",Unfall 79422 (2019) Kat:3, Licht: 0,79422,3,1,8,06,16,1,0,0,0,1,0,0
"POINT (9.618675609000036 52.316463130000045)",Unfall 79423 (2019) Kat:2, Licht: 0,79423,2,1,9,06,08,1,0,0,1,0,0,0
"POINT (9.697729702000061 52.376360656000031)",Unfall 79469 (2019) Kat:3, Licht: 0,79469,3,6,1,06,10,7,0,0,0,1,0,0
"POINT (9.547506380000073 52.403036666000048)",Unfall 79470 (2019) Kat:3, Licht: 0,79470,3,7,8,06,15,7,0,0,0,1,0,0
"POINT (9.792804401000069 52.534715677000065)",Unfall 79471 (2019) Kat:3, Licht: 0,79471,3,6,2,06,11,7,0,0,0,1,0,0
"POINT (9.738050426000029 52.610396002000073)",Unfall 79496 (2019) Kat:1, Licht: 0,79496,1,6,2,06,06,3,0,0,0,0,0,0
"POINT (9.735543501000052 52.403578588000073)",Unfall 79502 (2019) Kat:3, Licht: 0,79502,3,2,3,06,18,3,1,0,1,1,0,0
"POINT (9.740275146000045 52.302193261000070)",Unfall 79503 (2019) Kat:3, Licht: 0,79503,3,6,2,06,18,3,0,0,0,1,0,0
"POINT (9.553246969000043 52.453479282000046)",Unfall 79504 (2019) Kat:3, Licht: 0,79504,3,1,8,06,21,3,0,0,0,1,0,0
"POINT (9.757994446000055 52.522596496000062)",Unfall 79505 (2019) Kat:3, Licht: 0,79505,3,3,5,06,13,3,0,0,1,0,0,0
"POINT (9.744560995000029 52.536052053000049)",Unfall 79506 (2019) Kat:3, Licht: 0,79506,3,3,5,06,17,3,0,0,1,1,0,0
"POINT (9.733018972000025 52.471672224000031)",Unfall 79507 (2019) Kat:3, Licht: 0,79507,3,3,5,06,17,3,0,0,1,1,0,0
"POINT (9.727945691000059 52.427431759000058)",Unfall 79508 (2019) Kat:3, Licht: 0,79508,3,6,2,06,19,3,0,0,0,1,0,0
"POINT (9.778750450000075 52.427792587000056)",Unfall 79509 (2019) Kat:3, Licht: 0,79509,3,7,9,06,17,3,0,0,0,1,0,0
"POINT (9.585855568000056 52.392798088000063)",Unfall 79562 (2019) Kat:3, Licht: 0,79562,3,1,0,06,17,2,0,0,0,0,0,1
"POINT (9.585643654000023 52.392380156000058)",Unfall 79563 (2019) Kat:3, Licht: 0,79563,3,2,0,06,09,2,0,0,0,1,0,1
"POINT (9.608837503000075 52.443633933000058)",Unfall 79564 (2019) Kat:3, Licht: 2,79564,3,7,0,06,01,2,0,2,0,1,0,0
"POINT (9.728132472000027 52.578257219000079)",Unfall 79565 (2019) Kat:3, Licht: 0,79565,3,7,0,06,16,2,0,0,0,1,0,1
"POINT (9.862125898000045 52.370847989000026)",Unfall 79566 (2019) Kat:3, Licht: 0,79566,3,2,6,06,12,2,0,0,0,1,1,0
"POINT (9.679422818000035 52.429315067000061)",Unfall 79567 (2019) Kat:3, Licht: 0,79567,3,6,2,06,13,2,0,0,0,1,0,0
"POINT (9.691275148000045 52.332128435000072)",Unfall 79568 (2019) Kat:3, Licht: 0,79568,3,6,2,06,11,2,0,0,0,1,0,0
"POINT (9.973250270000051 52.385653064000053)",Unfall 79608 (2019) Kat:3, Licht: 0,79608,3,1,8,06,15,1,0,0,0,0,0,1
"POINT (9.877282192000052 52.435091967000062)",Unfall 79609 (2019) Kat:3, Licht: 0,79609,3,1,3,06,18,1,0,0,1,0,0,0
"POINT (9.838406364000036 52.421750181000050)",Unfall 79610 (2019) Kat:3, Licht: 0,79610,3,6,2,06,14,1,0,0,0,1,0,0
"POINT (9.883817381000029 52.430474435000065)",Unfall 79611 (2019) Kat:3, Licht: 0,79611,3,6,9,06,12,1,0,0,0,1,0,0
"POINT (9.641972638000027 52.414667221000059)",Unfall 79642 (2019) Kat:3, Licht: 0,79642,3,7,0,06,08,7,0,0,0,1,0,0
"POINT (9.459780774000024 52.433774557000049)",Unfall 79643 (2019) Kat:3, Licht: 0,79643,3,6,2,06,18,7,0,0,0,1,0,0
"POINT (9.733181514000023 52.319100896000066)",Unfall 79644 (2019) Kat:3, Licht: 0,79644,3,2,5,06,14,7,0,0,1,1,0,0
"POINT (9.448747754000067 52.308225682000057)",Unfall 79645 (2019) Kat:3, Licht: 0,79645,3,3,5,06,08,7,0,0,1,0,0,0
