WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.651241171000040 52.420272059000098)",Unfall 7704 (2022) Kat:3, Licht: 1,7704,3,6,2,01,15,3,,1,0,1,0,0
"POINT (9.457034174000061 52.501283151000102)",Unfall 7724 (2022) Kat:3, Licht: 0,7724,3,3,5,01,12,6,,0,0,1,0,0
"POINT (9.863606109000051 52.473528872000003)",Unfall 7731 (2022) Kat:3, Licht: 2,7731,3,1,4,01,19,5,,2,0,1,0,0
"POINT (9.574224201000050 52.282128092000100)",Unfall 7733 (2022) Kat:3, Licht: 2,7733,3,6,2,01,08,3,,2,0,1,0,0
"POINT (9.735625964000061 52.396082032000002)",Unfall 7741 (2022) Kat:2, Licht: 2,7741,2,3,5,01,19,5,,2,1,1,0,0
"POINT (9.862489974000029 52.421697648000098)",Unfall 7750 (2022) Kat:3, Licht: 0,7750,3,6,2,01,13,7,,0,0,1,0,0
"POINT (9.819529493000060 52.310298027999998)",Unfall 7759 (2022) Kat:3, Licht: 2,7759,3,6,2,01,17,3,,2,0,1,0,0
"POINT (10.013260521000101 52.443625723000103)",Unfall 7760 (2022) Kat:3, Licht: 0,7760,3,3,5,01,12,4,,0,1,1,0,0
"POINT (9.734201756000060 52.438588642000099)",Unfall 7773 (2022) Kat:3, Licht: 0,7773,3,2,3,01,14,6,,0,1,1,0,0
"POINT (9.563376193000069 52.421897711000000)",Unfall 7783 (2022) Kat:2, Licht: 2,7783,2,6,2,01,22,2,,2,0,1,0,0
"POINT (9.826687492000080 52.362247802000098)",Unfall 7784 (2022) Kat:3, Licht: 0,7784,3,1,0,01,09,3,,0,0,0,0,1
"POINT (9.523201882000020 52.461256157000001)",Unfall 7789 (2022) Kat:3, Licht: 0,7789,3,1,0,01,11,6,,0,0,0,0,1
"POINT (9.588093627000029 52.184423320000100)",Unfall 7810 (2022) Kat:3, Licht: 2,7810,3,7,8,01,06,2,,2,0,1,0,0
"POINT (9.789847441000060 52.556288705999997)",Unfall 7813 (2022) Kat:3, Licht: 0,7813,3,6,2,01,14,6,,0,0,1,0,0
"POINT (9.901396772000060 52.396837721000097)",Unfall 7834 (2022) Kat:3, Licht: 0,7834,3,6,2,01,13,6,,0,0,1,0,0
"POINT (9.815313039000049 52.319342261000003)",Unfall 7844 (2022) Kat:3, Licht: 0,7844,3,6,2,02,16,6,,0,0,1,0,0
"POINT (9.670964109000071 52.377152158999998)",Unfall 7863 (2022) Kat:3, Licht: 1,7863,3,3,5,01,07,5,,1,1,1,0,0
