WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.516462375000060 52.340974913000082)",Unfall 1 (2021) Kat:3, Licht: 0,1,3,3,5,01,09,3,,0,0,1,0,0
"POINT (9.418603962000077 52.325346169000056)",Unfall 2 (2021) Kat:3, Licht: 2,2,3,7,2,01,06,4,,2,0,1,0,0
"POINT (9.615520799000024 52.330150515000071)",Unfall 3 (2021) Kat:3, Licht: 0,3,3,1,9,01,11,5,,0,0,0,0,0
"POINT (9.515442220000068 52.412436810000031)",Unfall 4 (2021) Kat:3, Licht: 2,4,3,1,3,01,17,4,,2,0,1,0,0
"POINT (9.827107866000063 52.343379910000067)",Unfall 5 (2021) Kat:3, Licht: 0,5,3,4,6,02,12,1,,0,0,1,1,0
"POINT (9.754259057000070 52.355435336000028)",Unfall 6 (2021) Kat:3, Licht: 0,6,3,2,4,02,15,2,,0,0,1,0,0
"POINT (9.752978941000038 52.369950048000078)",Unfall 7 (2021) Kat:3, Licht: 0,7,3,3,5,01,13,3,,0,0,1,0,0
"POINT (9.643233990000056 52.422852620000072)",Unfall 8 (2021) Kat:3, Licht: 0,8,3,6,9,02,12,4,,0,0,1,0,0
"POINT (9.728283278000049 52.374197817000038)",Unfall 9 (2021) Kat:3, Licht: 0,9,3,6,2,01,16,5,,0,0,1,0,0
"POINT (9.552733057000069 52.421359955000071)",Unfall 10 (2021) Kat:3, Licht: 2,10,3,7,8,01,06,2,,2,0,1,0,0
"POINT (9.731794852000064 52.430621192000046)",Unfall 11 (2021) Kat:3, Licht: 0,11,3,6,6,01,15,4,,0,0,1,1,0
"POINT (9.827288053000075 52.355671970000060)",Unfall 12 (2021) Kat:3, Licht: 2,12,3,3,5,02,06,5,,2,1,1,0,0
"POINT (9.822685817000036 52.486299653000060)",Unfall 13 (2021) Kat:3, Licht: 0,13,3,1,8,02,12,2,,0,0,1,0,0
"POINT (9.679879727000070 52.193758716000048)",Unfall 14 (2021) Kat:2, Licht: 2,14,2,1,8,01,19,6,,2,0,0,0,0
"POINT (9.472519307000027 52.385710331000041)",Unfall 15 (2021) Kat:2, Licht: 0,15,2,6,3,02,16,5,,0,0,1,0,0
"POINT (9.757307213000047 52.370222740000031)",Unfall 16 (2021) Kat:3, Licht: 0,16,3,2,2,01,11,7,,0,0,1,0,0
"POINT (9.760262146000059 52.347225429000048)",Unfall 17 (2021) Kat:3, Licht: 0,17,3,1,0,01,15,4,,0,1,0,0,0
"POINT (9.829886855000041 52.339476739000077)",Unfall 18 (2021) Kat:3, Licht: 0,18,3,2,2,01,13,3,,0,0,1,0,0
"POINT (9.969042438000031 52.331343856000046)",Unfall 19 (2021) Kat:2, Licht: 2,19,2,1,9,01,17,2,,2,0,1,0,0
"POINT (9.855414926000037 52.535808684000074)",Unfall 20 (2021) Kat:2, Licht: 0,20,2,6,4,02,07,5,,0,0,1,0,0
