WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (8.464640825000000 48.964309749000002)",Unfall 24402 (2016) Kat:2, Licht: 0,24402,2,6,9,02,16,1,,0,0,1,0,0,0,1
"POINT (8.476593557999999 49.025407090000002)",Unfall 24404 (2016) Kat:3, Licht: 2,24404,3,6,2,02,21,5,,2,0,1,0,0,0,1
"POINT (8.447944945000000 49.003172106000001)",Unfall 24555 (2016) Kat:3, Licht: 0,24555,3,6,2,02,16,6,,0,1,0,0,0,0,0
"POINT (8.464070199000000 48.967270307000000)",Unfall 24587 (2016) Kat:3, Licht: 0,24587,3,6,2,02,14,5,,0,0,1,0,0,0,0
"POINT (8.479806155000000 49.029229381999997)",Unfall 24702 (2016) Kat:3, Licht: 2,24702,3,6,2,02,19,3,,2,0,1,0,0,1,0
"POINT (8.486337527000000 49.038339548000003)",Unfall 24791 (2016) Kat:3, Licht: 0,24791,3,6,2,02,13,6,,0,0,1,0,0,0,0
"POINT (8.465768456999999 48.965882968999999)",Unfall 24795 (2016) Kat:3, Licht: 2,24795,3,6,2,02,18,3,,2,0,1,0,0,0,0
"POINT (8.461927640000001 48.982354561999998)",Unfall 24903 (2016) Kat:3, Licht: 2,24903,3,7,0,02,17,3,,2,0,0,0,1,0,0
"POINT (8.404762357999999 48.972426828000003)",Unfall 24967 (2016) Kat:3, Licht: 0,24967,3,3,5,02,10,7,,0,1,1,0,0,0,0
"POINT (8.353904392000001 49.016993806000002)",Unfall 24984 (2016) Kat:2, Licht: 0,24984,2,4,6,02,12,6,,0,0,1,1,0,0,0
"POINT (8.381479600000001 48.992063375999997)",Unfall 25005 (2016) Kat:3, Licht: 2,25005,3,7,2,02,06,3,,2,0,1,0,0,0,0
