WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (6.799968629000034 51.433249507000028)",Unfall 97647 (2019) Kat:3, Licht: 0,97647,3,6,2,01,17,7,0,0,0,1,0,0,0,0
"POINT (6.742884544000049 51.522760819000041)",Unfall 97648 (2019) Kat:3, Licht: 2,97648,3,2,2,01,21,7,0,2,0,1,0,0,0,0
"POINT (6.770157126000072 51.461840888000040)",Unfall 97672 (2019) Kat:3, Licht: 2,97672,3,6,2,01,17,7,0,2,0,1,0,0,0,0
"POINT (6.667060304000074 51.476611190000028)",Unfall 97750 (2019) Kat:3, Licht: 2,97750,3,6,4,01,21,3,2,2,0,1,0,0,0,0
"POINT (6.748035007000055 51.490477760000033)",Unfall 97752 (2019) Kat:3, Licht: 0,97752,3,6,1,01,09,3,2,0,0,1,0,0,0,0
"POINT (6.759709607000048 51.510363800000050)",Unfall 97755 (2019) Kat:3, Licht: 2,97755,3,2,6,01,06,3,2,2,0,1,1,0,0,0
"POINT (6.750834523000037 51.397311983000066)",Unfall 97772 (2019) Kat:3, Licht: 2,97772,3,2,5,01,19,6,1,2,1,1,0,0,0,0
"POINT (6.761234018000039 51.434687133000068)",Unfall 97775 (2019) Kat:3, Licht: 0,97775,3,6,3,01,10,6,1,0,0,1,0,0,0,0
"POINT (6.729129586000056 51.409842534000063)",Unfall 97777 (2019) Kat:3, Licht: 1,97777,3,5,1,01,08,6,2,1,0,1,0,0,0,1
"POINT (6.757398570000021 51.527601881000066)",Unfall 97778 (2019) Kat:3, Licht: 0,97778,3,4,6,01,13,6,1,0,0,1,1,0,0,0
"POINT (6.770114986000067 51.470495125000070)",Unfall 97780 (2019) Kat:3, Licht: 2,97780,3,3,5,01,06,6,2,2,1,1,0,0,0,0
"POINT (6.765261948000045 51.472131322000052)",Unfall 97810 (2019) Kat:3, Licht: 0,97810,3,1,9,01,22,3,2,0,0,1,0,0,0,0
"POINT (6.773789290000025 51.412962658000026)",Unfall 97829 (2019) Kat:3, Licht: 0,97829,3,4,6,01,15,6,1,0,0,0,1,1,0,0
"POINT (6.747687320000068 51.486898975000031)",Unfall 97863 (2019) Kat:3, Licht: 2,97863,3,6,2,01,06,6,0,2,0,1,0,0,1,0
"POINT (6.749454330000049 51.362841687000071)",Unfall 97898 (2019) Kat:3, Licht: 1,97898,3,4,6,01,16,5,1,1,0,1,1,0,0,0
"POINT (6.775793338000028 51.440302033000080)",Unfall 97926 (2019) Kat:3, Licht: 2,97926,3,6,0,01,20,5,1,2,0,1,0,0,0,0
"POINT (6.733052236000049 51.466258193000044)",Unfall 97981 (2019) Kat:3, Licht: 0,97981,3,2,1,01,14,1,1,0,0,1,0,0,0,0
"POINT (6.739159597000025 51.450804635000054)",Unfall 98019 (2019) Kat:3, Licht: 1,98019,3,6,1,01,06,4,2,1,0,1,0,0,1,0
"POINT (6.758256259000063 51.527620753000065)",Unfall 98053 (2019) Kat:3, Licht: 2,98053,3,1,9,01,17,7,1,2,0,1,0,0,0,0
